"Title","Happiness by ethnicity and gender"
"Location","UK"
"Time period","2013 to 2015 combined"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeinghappiness"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Sex","Ethnicity",""
"Female","All","7.46"
"Female","Bangladeshi","7.60"
"Female","Chinese","7.78"
"Female","Indian","7.52"
"Female","Pakistani","7.42"
"Female","Asian other","7.58"
"Female","Black","7.28"
"Female","Mixed other","7.09"
"Female","White","7.47"
"Female","Other","7.42"
"Female","Arab","6.98"
"Female","Gypsy / Traveller / Irish Traveller","?"
"Male","All","7.42"
"Male","Bangladeshi","7.37"
"Male","Chinese","7.41"
"Male","Indian","7.70"
"Male","Pakistani","7.42"
"Male","Asian other","7.44"
"Male","Black","7.25"
"Male","Mixed other","7.18"
"Male","White","7.43"
"Male","Other","7.39"
"Male","Arab","7.04"
"Male","Gypsy / Traveller / Irish Traveller","?"
