"","Higher managerial and professional","Lower managerial and professional","Intermediate occupations","Small employers and own account workers","Lower supervisory and technical","Semi-routine occupations","Routine occupations","Never worked, unemployed, and nec"
"","","","","","","","",""
"All","7.59","7.57","7.50","7.59","7.48","7.41","7.40","7.39"
"Arab","7.31","7.27","?","7.18","?","7.30","?","7.22"
"Bangladeshi","7.79","7.26","7.16","7.85","7.75","7.59","7.42","7.50"
"Chinese","7.71","7.43","7.09","7.82","?","7.69","?","7.61"
"Indian","7.73","7.68","7.74","7.81","7.74","7.64","7.67","7.61"
"Pakistani","7.77","7.36","7.50","7.45","7.59","7.50","7.48","7.43"
"Asian other","7.43","7.70","7.54","7.40","7.50","7.76","7.51","7.54"
"Black","7.48","7.33","7.22","7.35","7.36","7.24","7.38","7.26"
"Mixed","7.41","7.36","7.25","7.02","7.00","7.03","7.19","7.16"
"White","7.59","7.58","7.51","7.61","7.48","7.41","7.39","7.39"
"White Gypsy/Traveller","?","?","?","?","?","?","?","?"
"Other","7.75","7.45","7.47","7.46","8.08","7.46","7.73","7.21"
