"","Very High (9-10)","High (7-8)","Medium (5-6)","Low (0-4)"
"","","","",""
"All","35.12","40.36","16.26","8.26"
"Arab","27.08","42.44","18.18","12.30"
"Bangladeshi","37.51","34.49","18.03","?"
"Chinese","27.90","41.12","24.78","6.20"
"Indian","38.47","42.13","14.12","5.28"
"Pakistani","36.90","36.26","18.50","8.35"
"Asian other","37.30","40.78","15.75","6.17"
"Black","33.76","37.15","18.64","10.45"
"Mixed","26.79","44.25","18.79","10.18"
"White","35.17","40.50","16.08","8.25"
"White Gypsy/Traveller","?","?","?","?"
"Other","36.97","37.75","17.12","8.16"
