"Title","Happiness yesterday by ethnicity"
"Location","United Kingdom"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeinghappiness"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Average score"
"All","7.49"
"Bangladeshi","7.58"
"Chinese","7.54"
"Indian","7.75"
"Pakistani","7.50"
"Asian other","7.61"
"Black","7.35"
"Mixed","7.37"
"White","7.49"
"Other","7.62"
"Arab","7.41"
"Gypsy / Traveller / Irish Traveller","?"
