"","2012","2013","2014","2015","2016","2017"
"","","","","","",""
"All","31.49","32.28","33.72","34.24","34.58","35.12"
"Arab","23.73","23.28","26.29","31.89","33.42","27.08"
"Bangladeshi","33.42","35.04","37.86","34.23","37.25","37.51"
"Chinese","27.26","29.44","34.10","33.53","30.67","27.90"
"Indian","35.73","32.68","34.90","35.80","38.55","38.47"
"Pakistani","30.68","32.07","34.38","36.06","35.69","36.90"
"Asian other","31.49","34.64","31.42","33.99","34.28","37.30"
"Black","29.35","32.37","33.02","32.54","34.39","33.76"
"Mixed","24.73","31.93","28.65","28.80","30.77","26.79"
"White","31.59","32.32","33.80","34.32","34.53","35.17"
"White Gypsy/Traveller","?","?","?","?","?","?"
"Other","28.55","30.40","32.37","32.80","33.94","36.97"
