"","Higher managerial and professional","Lower managerial and professional","Intermediate occupations","Small employers and own account workers","Lower supervisory and technical","Semi-routine occupations","Routine occupations","Never worked, unemployed, and nec"
"","","","","","","","",""
"All","7.98","8.03","7.90","7.99","7.85","7.77","7.66","7.68"
"Arab","8.30","7.77","?","?","?","7.42","?","7.86"
"Bangladeshi","8.16","7.53","8.01","7.94","7.98","7.47","7.72","7.74"
"Chinese","7.98","7.62","7.45","7.85","?","7.40","?","7.84"
"Indian","7.94","7.96","7.89","8.01","7.83","7.70","7.74","7.78"
"Pakistani","7.90","7.95","7.98","7.75","7.78","7.79","7.68","7.85"
"Asian other","7.92","7.94","7.83","7.56","7.57","7.87","7.59","7.65"
"Black","7.87","7.87","7.80","7.66","7.47","7.54","7.57","7.57"
"Mixed","7.85","7.87","7.95","7.65","7.50","7.46","7.26","7.59"
"White","7.98","8.05","7.91","8.02","7.86","7.80","7.66","7.68"
"White Gypsy/Traveller","?","?","?","?","?","?","?","?"
"Other","8.11","7.92","7.77","7.83","7.94","7.45","7.64","7.51"
