"Title","Feeling the things you do in your life are worthwhile, by ethnicity over time"
"Location","UK"
"Time period","2012 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeingworthwhile"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","2012","2013","2014","2015","2016"
"Ethnicity","","","","",""
"All","7.70","7.73","7.80","7.84","7.85"
"Bangladeshi","7.44","7.62","7.76","7.79","7.65"
"Chinese","7.43","7.47","7.75","7.66","7.74"
"Indian","7.71","7.73","7.76","7.88","7.90"
"Pakistani","7.53","7.61","7.75","7.81","7.86"
"Asian other","7.56","7.62","7.78","7.70","7.82"
"Black / African / Caribbean / Black British","7.47","7.59","7.64","7.69","7.65"
"Mixed","7.46","7.67","7.52","7.69","7.72"
"White","7.72","7.74","7.81","7.85","7.86"
"Other ethnic group","7.41","7.46","7.66","7.72","7.81"
"Arab","7.19","7.33","7.48","7.77","7.75"
"Gypsy / Traveller / Irish Traveller","?","?","?","?","?"
