"Title","Feeling the things you do in your life are worthwhile: thresholds, by ethnicity"
"Location","UK"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeingworthwhile"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"","Very High (9-10)","High (7-8)","Medium (5-6)","Low (0-4)"
"","%","%","%","%"
"All","35.70","48.61","12.06","3.63"
"Arab","32.67","46.00","16.90","?"
"Bangladeshi","34.71","44.87","13.96","?"
"Chinese","24.23","58.91","14.24","?"
"Indian","34.40","50.83","12.15","2.62"
"Pakistani","37.91","43.85","15.50","2.82"
"Asian other","34.09","48.07","15.50","?"
"Black","35.44","43.69","15.94","4.93"
"Mixed","30.32","50.49","15.03","?"
"White","35.89","48.73","11.75","3.63"
"White Gypsy/Traveller","?","?","?","?"
"Other","35.54","48.61","13.21","2.65"
