"Title","‘Very high’ levels of feeling the things you do in your life are worthwhile, by ethnicity over time"
"Location","UK"
"Time period","2012 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeingworthwhile"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Year","Ethnicity",""
"2012","All","31.5"
"2012","Bangladeshi","28.5"
"2012","Chinese","22.6"
"2012","Indian","31.6"
"2012","Pakistani","31.0"
"2012","Asian other","29.6"
"2012","Black","30.1"
"2012","Mixed other","27.3"
"2012","White","31.7"
"2012","Other","27.2"
"2012","Arab","27.4"
"2012","Gypsy / Traveller / Irish Traveller","?"
"2013","All","32.3"
"2013","Bangladeshi","32.0"
"2013","Chinese","20.4"
"2013","Indian","30.7"
"2013","Pakistani","30.8"
"2013","Asian other","32.3"
"2013","Black","31.8"
"2013","Mixed other","35.6"
"2013","White","32.5"
"2013","Other","28.8"
"2013","Arab","27.2"
"2013","Gypsy / Traveller / Irish Traveller","?"
"2014","All","33.9"
"2014","Bangladeshi","34.8"
"2014","Chinese","26.2"
"2014","Indian","31.4"
"2014","Pakistani","34.4"
"2014","Asian other","33.8"
"2014","Black","33.3"
"2014","Mixed other","29.1"
"2014","White","34.1"
"2014","Other","31.2"
"2014","Arab","25.0"
"2014","Gypsy / Traveller / Irish Traveller","?"
"2015","All","34.5"
"2015","Bangladeshi","35.7"
"2015","Chinese","27.7"
"2015","Indian","33.9"
"2015","Pakistani","34.5"
"2015","Asian other","30.7"
"2015","Black","33.5"
"2015","Mixed other","31.8"
"2015","White","34.6"
"2015","Other","31.5"
"2015","Arab","36.9"
"2015","Gypsy / Traveller / Irish Traveller","?"
"2016","All","34.9"
"2016","Bangladeshi","30.9"
"2016","Chinese","26.0"
"2016","Indian","33.8"
"2016","Pakistani","35.9"
"2016","Asian other","33.9"
"2016","Black","33.3"
"2016","Mixed other","32.0"
"2016","White","35.2"
"2016","Other","33.0"
"2016","Arab","33.4"
"2016","Gypsy / Traveller / Irish Traveller","?"
