"Title","Life satisfaction by ethnicity"
"Location","UK"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeinglifesatisfaction"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Average score"
"All","7.67"
"Bangladeshi","7.50"
"Chinese","7.69"
"Indian","7.81"
"Pakistani","7.68"
"Asian other","7.64"
"Black","7.22"
"Mixed","7.43"
"White","7.69"
"Other","7.64"
"Arab","7.63"
"Gypsy / Traveller / Irish Traveller","?"
