"Title","Life satisfaction over time by ethnicity"
"Location","UK"
"Time period","2012 to 2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"","2012","2013","2014","2015","2016","2017"
"","","","","","",""
"All","7.45","7.49","7.58","7.65","7.67","7.69"
"Arab","7.08","7.26","7.31","7.51","7.63","7.39"
"Bangladeshi","7.25","7.36","7.59","7.60","7.50","7.51"
"Chinese","7.44","7.50","7.55","7.58","7.69","7.68"
"Indian","7.54","7.47","7.68","7.74","7.81","7.80"
"Pakistani","7.28","7.37","7.47","7.63","7.68","7.73"
"Asian other","7.42","7.50","7.55","7.61","7.64","7.69"
"Black","6.79","6.97","7.13","7.18","7.22","7.24"
"Mixed","7.10","7.35","7.10","7.39","7.43","7.42"
"White","7.48","7.52","7.60","7.67","7.69","7.71"
"White Gypsy/Traveller","?","?","?","?","?","?"
"Other","7.13","7.36","7.50","7.48","7.64","7.59"
