"Title","Healthy eating of 5-a-day among adults by ethnicity"
"Location","England"
"Time period","2015/16 to 2016/17"
"Data source","Public Health Outcomes Framework"
"Data source link","http://www.phoutcomes.info/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","2015/16","2016/17"
"","%","%"
"All","56.8","57.4"
"Asian","47.5","48.9"
"Black","46.4","45.7"
"Chinese","57.2","51.1"
"Mixed","53.3","56.0"
"White British","57.9","58.4"
"White other","58.3","58.3"
"Other","59.7","57.1"
