"","2014/15","","2015/16",""
"Ethnicity","4 to 5 year olds","10 to 11 year olds","4 to 5 year olds","10 to 11 year olds"
"All","21.9","33.2","22.1","34.2"
"Bangladeshi","21.6","43.0","20.3","42.7"
"Chinese","17.3","29.8","17.1","30.2"
"Indian","14.9","35.1","14.5","36.3"
"Pakistani","19.8","39.1","19.2","40.6"
"Asian other","19.4","38.6","19.6","38.2"
"Black African","30.8","44.8","31.2","45.9"
"Black Caribbean","24.7","43.1","25.2","45.3"
"Black other","28.7","43.4","28.4","41.6"
"Mixed White/Asian","15.6","29.4","16.2","30.1"
"Mixed White/Black African","28.6","39.6","26.7","40.3"
"Mixed White/Black Caribbean","25.5","39.5","24.9","39.4"
"Mixed other","22.1","35.2","22.0","36.7"
"White British","22.1","31.3","22.4","31.9"
"White Irish","23.8","31.8","24.7","32.8"
"White other","20.7","35.1","20.4","36.2"
"Any other","23.2","39.1","23.8","40.6"
"Unknown","21.3","32.3","22.0","34.4"
