"Title","Average age of first-time buyers by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/statistics/english-housing-survey-2015-to-2016-headline-report"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Standard Deviation","Sample size","Value"
"English / Welsh / Scottish / Northern Irish / British","10.6","4507","33"
"Irish","11.7","36","36"
"Gypsy or Irish Traveller","?","?","?"
"Any Other White background","8.5","186","34"
"White and Black Caribbean","?","?","?"
"White and Black African","?","?","?"
"White and Asian","?","?","?"
"Any other Mixed / multiple ethnic background","?","?","?"
"Indian","9.4","203","33"
"Pakistani","9.8","152","32"
"Bangladeshi","?","?","?"
"Chinese","12.6","31","37"
"Any other Asian background","7.6","57","36"
"African","8.8","60","38"
"Caribbean","9.3","61","35"
"Any other Black background","?","?","?"
"Arab","?","?","?"
"Any other ethnic group","11.7","42","38"
"White","","",""
"Mixed","","",""
"Asian","","",""
"Black","","",""
"Other","","",""
