"Title","Financial help from family members to buy a home"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Value","Denominator","Numerator","Sample size"
"English / Welsh / Scottish / Northern Irish / British","7","12,207,546","825,331","13375"
"Irish","8","94,940","8,046","110"
"Gypsy or Irish Traveller","?","?","?","?"
"Any Other White background","16","328,913","51,820","334"
"White and Black Caribbean","?","?","?","?"
"White and Black African","?","?","?","?"
"White and Asian","4","44,723","1,967","40"
"Any other Mixed / multiple ethnic background","?","?","?","?"
"Indian","11","329,941","36,553","325"
"Pakistani","15","185,014","27,035","191"
"Bangladeshi","11","37,717","4,077","43"
"Chinese","11","48,537","5,219","56"
"Any other Asian background","11","85,834","9,710","82"
"African","6","75,274","4,804","78"
"Caribbean","5","110,634","5,630","110"
"Any other Black background","?","?","?","?"
"Arab","?","?","?","?"
"Any other ethnic group","8","70,392","5,797","67"
"Other","","","",""
"White","","","",""
"Asian","","","",""
"Mixed","","","",""
"Black","","","",""
