"Title","Average fuel poverty gap by ethnicity over time"
"Location","England"
"Time period","2003 to 2014"
"Data source","Fuel poverty statistics https://www.gov.uk/government/collections/fuel-poverty-statistics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Fuel poverty gap","Year","Time_type","Ethnicity","Ethnicity_type","Income band","Region","Value"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2003","Annual","White","White & other","All","All","229"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2003","Annual","Other","White & other","All","All","219"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2004","Annual","White","White & other","All","All","236"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2004","Annual","Other","White & other","All","All","228"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2005","Annual","White","White & other","All","All","260"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2005","Annual","Other","White & other","All","All","212"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2006","Annual","White","White & other","All","All","334"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2006","Annual","Other","White & other","All","All","271"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2007","Annual","White","White & other","All","All","333"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2007","Annual","Other","White & other","All","All","276"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2008","Annual","White","White & other","All","All","345"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2008","Annual","Other","White & other","All","All","304"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2009","Annual","White","White & other","All","All","368"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2009","Annual","Other","White & other","All","All","304"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2010","Annual","White","White & other","All","All","370"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2010","Annual","Other","White & other","All","All","281"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2011","Annual","White","White & other","All","All","407"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2011","Annual","Other","White & other","All","All","298"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2012","Annual","White","White & other","All","All","407"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2012","Annual","Other","White & other","All","All","324"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2013","Annual","White","White & other","All","All","380"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2013","Annual","Other","White & other","All","All","391"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2014","Annual","White","White & other","All","All","374"
"Average fuel poverty gap (£s) of households in Fuel Poverty in England","Gap","2014","Annual","Other","White & other","All","All","356"
