"Title","Overcrowded households by ethnicity and area"
"Location","England"
"Time period","2014 to 2016"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Region","Value","Denominator","Numerator","Sample size"
"White British","North East","2"," 1,083,531 "," 17,632 "," 2,223 "
"White British","North West","2"," 2,732,893 "," 41,480 "," 5,124 "
"White British","Yorkshire and The Humber","1"," 2,014,231 "," 25,600 "," 3,676 "
"White British","East Midlands","1"," 1,710,066 "," 22,872 "," 3,206 "
"White British","West Midlands","2"," 1,982,713 "," 38,131 "," 3,498 "
"White British","East of England","2"," 2,169,371 "," 33,222 "," 3,992 "
"White British","London","3"," 1,723,591 "," 47,541 "," 2,353 "
"White British","South East","2"," 3,193,654 "," 52,399 "," 5,718 "
"White British","South West","2"," 2,217,722 "," 36,598 "," 3,929 "
"All other ethnic groups","North East","NA"," NA "," NA "," NA "
"All other ethnic groups","North West","7"," 321,434 "," 21,601 "," 580 "
"All other ethnic groups","Yorkshire and The Humber","6"," 230,373 "," 14,757 "," 413 "
"All other ethnic groups","East Midlands","8"," 227,931 "," 17,257 "," 411 "
"All other ethnic groups","West Midlands","8"," 339,739 "," 27,857 "," 604 "
"All other ethnic groups","East of England","8"," 321,024 "," 24,426 "," 572 "
"All other ethnic groups","London","13"," 1,643,031 "," 205,215 "," 2,377 "
"All other ethnic groups","South East","8"," 486,885 "," 36,299 "," 826 "
"All other ethnic groups","South West","6"," 157,547 "," 10,161 "," 279 "
