"Title","Spending on mortgages by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity_type","Tenure","Value"
"White - British","ONS 18+1","Homeowners","17"
"White - Irish","ONS 18+1","Homeowners","20"
"White - Gypsy or Irish Traveller","ONS 18+1","Homeowners","?"
"White - Other","ONS 18+1","Homeowners","21"
"Mixed - White and Black Caribbean","ONS 18+1","Homeowners","?"
"Mixed - White and Black African","ONS 18+1","Homeowners","?"
"Mixed - White and Asian","ONS 18+1","Homeowners","?"
"Mixed - Other","ONS 18+1","Homeowners","?"
"Asian - Indian","ONS 18+1","Homeowners","21"
"Asian - Pakistani","ONS 18+1","Homeowners","19"
"Asian - Bangladeshi","ONS 18+1","Homeowners","22"
"Asian - Chinese","ONS 18+1","Homeowners","23"
"Asian - Other","ONS 18+1","Homeowners","22"
"Black - African","ONS 18+1","Homeowners","20"
"Black - Caribbean","ONS 18+1","Homeowners","21"
"Black - Other","ONS 18+1","Homeowners","20"
"Other - Arab","ONS 18+1","Homeowners","?"
"Other - Any other","ONS 18+1","Homeowners","22"
"White","","Homeowners",""
"Mixed","","Homeowners",""
"Asian","","Homeowners",""
"Black","","Homeowners",""
"Other","","Homeowners",""
