"Title","Renting from a private landlord by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16"
"Data source","English Housing Survey, 2014-15 and 2015-16 https://www.gov.uk/government/collections/english-housing-survey#2013-to-2014"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","NS-SEC group","Income band","Region","Denominator","Numerator","Value"
"English / Welsh / Scottish / Northern Irish / British","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 18,808,000 "," 2,995,000 ","16"
"Irish","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 184,000 "," 30,000 ","16"
"Gypsy or Irish Traveller","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," NA "," NA ","NA"
"Any Other White background","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 1,078,000 "," 594,000 ","55"
"White and Black Caribbean","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 99,000 "," 36,000 ","36"
"White and Black African","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 80,000 "," 33,000 ","41"
"White and Asian","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 66,000 "," 9,000 ","14"
"Any other Mixed / multiple ethnic background","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 32,000 "," 10,000 ","31"
"Indian","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 504,000 "," 125,000 ","25"
"Pakistani","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 333,000 "," 86,000 ","26"
"Bangladeshi","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 98,000 "," 19,000 ","19"
"Chinese","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 129,000 "," 68,000 ","53"
"Any other Asian background","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 218,000 "," 95,000 ","44"
"African","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 368,000 "," 114,000 ","31"
"Caribbean","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 289,000 "," 48,000 ","17"
"Any other Black background","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 38,000 "," 7,000 ","18"
"Arab","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 63,000 "," 30,000 ","48"
"Any other ethnic group","ONS 18 + 1","England","England as a whole","All","All","All","All","All","All","All"," 227,000 "," 100,000 ","44"
