"Title"," Length of tenancy for new lettings in social housing by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Tenancy Length","Distribution of New Lettings","Number of New Lettings"
"White - British","2 years or less","27.1","11785"
"White - Irish","2 years or less","28.5","88"
"White - Other","2 years or less","15.3","449"
"Mixed - White and Black Caribbean","2 years or less","27.1","293"
"Mixed - White and Black African","2 years or less","22.6","88"
"Mixed - White and Asian","2 years or less","27.7","75"
"Mixed - Other","2 years or less","21","134"
"Asian - Indian","2 years or less","23.3","108"
"Asian - Pakistani","2 years or less","23.4","188"
"Asian - Bangladeshi","2 years or less","11.6","102"
"Asian/Asian British: Other","2 years or less","17.3","165"
"Black, African, Caribbean or Black British: Caribbean","2 years or less","21.7","456"
"Black, African, Caribbean or Black British: African","2 years or less","16.7","537"
"Black, African, Caribbean or Black British: Other","2 years or less","19.2","114"
"Asian - Chinese","2 years or less","18.7","21"
"Other - Any other","2 years or less","23.6","176"
"White - Gypsy or Irish Traveller","2 years or less","17.9","15"
"Other - Arab","2 years or less","19.4","52"
"White - British","3 to 5 years","53.3","23210"
"White - Irish","3 to 5 years","52.2","160"
"White - Other","3 to 5 years","64.4","1894"
"Mixed - White and Black Caribbean","3 to 5 years","54.1","585"
"Mixed - White and Black African","3 to 5 years","55","213"
"Mixed - White and Asian","3 to 5 years","52.1","142"
"Mixed - Other","3 to 5 years","57.9","370"
"Asian - Indian","3 to 5 years","57.1","266"
"Asian - Pakistani","3 to 5 years","59.1","476"
"Asian - Bangladeshi","3 to 5 years","75.4","661"
"Asian/Asian British: Other","3 to 5 years","58.6","559"
"Black, African, Caribbean or Black British: Caribbean","3 to 5 years","51.6","1082"
"Black, African, Caribbean or Black British: African","3 to 5 years","59.2","1900"
"Black, African, Caribbean or Black British: Other","3 to 5 years","58","344"
"Asian - Chinese","3 to 5 years","55.1","63"
"Other - Any other","3 to 5 years","58","433"
"White - Gypsy or Irish Traveller","3 to 5 years","51.3","43"
"Other - Arab","3 to 5 years","68.3","185"
"White - British","6 to 9 years","17.1","7453"
"White - Irish","6 to 9 years","17","52"
"White - Other","6 to 9 years","18.7","549"
"Mixed - White and Black Caribbean","6 to 9 years","17.3","188"
"Mixed - White and Black African","6 to 9 years","18.4","71"
"Mixed - White and Asian","6 to 9 years","17.9","49"
"Mixed - Other","6 to 9 years","19.1","122"
"Asian - Indian","6 to 9 years","17.6","82"
"Asian - Pakistani","6 to 9 years","15.3","123"
"Asian - Bangladeshi","6 to 9 years","10.1","89"
"Asian/Asian British: Other","6 to 9 years","21.7","207"
"Black, African, Caribbean or Black British: Caribbean","6 to 9 years","23.9","500"
"Black, African, Caribbean or Black British: African","6 to 9 years","22","706"
"Black, African, Caribbean or Black British: Other","6 to 9 years","20.5","122"
"Asian - Chinese","6 to 9 years","23.6","27"
"Other - Any other","6 to 9 years","17.1","127"
"White - Gypsy or Irish Traveller","6 to 9 years","30.8","26"
"Other - Arab","6 to 9 years","11.2","30"
"White - British","10 or more years","2.5","1067"
"White - Irish","10 or more years","2.4","7"
"White - Other","10 or more years","1.7","50"
"Mixed - White and Black Caribbean","10 or more years","1.4","15"
"Mixed - White and Black African","10 or more years","4","15"
"Mixed - White and Asian","10 or more years","2.2","6"
"Mixed - Other","10 or more years","2","13"
"Asian - Indian","10 or more years","2","9"
"Asian - Pakistani","10 or more years","2.2","18"
"Asian - Bangladeshi","10 or more years","2.9","25"
"Asian/Asian British: Other","10 or more years","2.3","22"
"Black, African, Caribbean or Black British: Caribbean","10 or more years","2.8","58"
"Black, African, Caribbean or Black British: African","10 or more years","2","65"
"Black, African, Caribbean or Black British: Other","10 or more years","2.3","13"
"Asian - Chinese","10 or more years","2.6","3"
"Other - Any other","10 or more years","1.4","10"
"White - Gypsy or Irish Traveller","10 or more years","0","0"
"Other - Arab","10 or more years","1.1","3"
"White","2 years or less","",""
"Mixed","2 years or less","",""
"Asian","2 years or less","",""
"Black","2 years or less","",""
"Other","2 years or less","",""
"White","3 to 5 years","",""
"Mixed","3 to 5 years","",""
"Asian","3 to 5 years","",""
"Black","3 to 5 years","",""
"Other","3 to 5 years","",""
"White","6 to 9 years","",""
"Mixed","6 to 9 years","",""
"Asian","6 to 9 years","",""
"Black","6 to 9 years","",""
"Other","6 to 9 years","",""
"White","10 or more years","",""
"Mixed","10 or more years","",""
"Asian","10 or more years","",""
"Black","10 or more years","",""
"Other","10 or more years","",""
