"Title","New social housing lettings by ethnicity and age"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Age","Distribution by Age of main tenant new Lettings","Distribution by Age of Population by ethnic group"
"White: English, Scottish, Welsh, Northern Irish, British","16 - 17 yrs old","1.9","2.8"
"White: Irish","16 - 17 yrs old","1.2","0.9"
"White: Other","16 - 17 yrs old","1","1.7"
"Mixed: White & Black Caribbean","16 - 17 yrs old","4.7","8"
"Mixed: White & Black African","16 - 17 yrs old","2","7.4"
"Mixed: White & Asian","16 - 17 yrs old","3.6","7.4"
"Mixed: Other","16 - 17 yrs old","3.2","6.1"
"Asian/Asian British: Indian","16 - 17 yrs old","0.9","2.5"
"Asian/Asian British: Pakistani","16 - 17 yrs old","1.8","4.9"
"Asian/Asian British: Bangladeshi","16 - 17 yrs old","0.7","5.6"
"Asian/Asian British: Other","16 - 17 yrs old","1.2","3.1"
"Black, African, Caribbean or Black British: Caribbean","16 - 17 yrs old","1.8","2.9"
"Black, African, Caribbean or Black British: African","16 - 17 yrs old","1.1","4.3"
"Black, African, Caribbean or Black British: Other","16 - 17 yrs old","1.2","5.9"
"Asian/Asian British: Chinese","16 - 17 yrs old","0.6","1.7"
"Other Ethnic group: Other","16 - 17 yrs old","1.6","2.8"
"White: Gypsy, Irish Traveller","16 - 17 yrs old","3.9","5.5"
"Other Ethnic group: Arab","16 - 17 yrs old","1.4","3.5"
"White: English, Scottish, Welsh, Northern Irish, British","18 - 24 yrs old","20.9","10.7"
"White: Irish","18 - 24 yrs old","11.1","4"
"White: Other","18 - 24 yrs old","9.6","7.3"
"Mixed: White & Black Caribbean","18 - 24 yrs old","36.1","28.4"
"Mixed: White & Black African","18 - 24 yrs old","19.5","21.8"
"Mixed: White & Asian","18 - 24 yrs old","25.4","24.1"
"Mixed: Other","18 - 24 yrs old","19.9","19.6"
"Asian/Asian British: Indian","18 - 24 yrs old","9.6","10.5"
"Asian/Asian British: Pakistani","18 - 24 yrs old","16","16.5"
"Asian/Asian British: Bangladeshi","18 - 24 yrs old","13.2","18.2"
"Asian/Asian British: Other","18 - 24 yrs old","13.9","12.8"
"Black, African, Caribbean or Black British: Caribbean","18 - 24 yrs old","19.7","11.8"
"Black, African, Caribbean or Black British: African","18 - 24 yrs old","15.2","16.1"
"Black, African, Caribbean or Black British: Other","18 - 24 yrs old","17.6","18.4"
"Asian/Asian British: Chinese","18 - 24 yrs old","5.9","15"
"Other Ethnic group: Other","18 - 24 yrs old","15","12.2"
"White: Gypsy, Irish Traveller","18 - 24 yrs old","24.9","17.4"
"Other Ethnic group: Arab","18 - 24 yrs old","13.7","14.6"
"White: English, Scottish, Welsh, Northern Irish, British","25 - 29 yrs old","13.4","7.5"
"White: Irish","25 - 29 yrs old","7.4","5.5"
"White: Other","25 - 29 yrs old","14.9","12.5"
"Mixed: White & Black Caribbean","25 - 29 yrs old","20.3","16"
"Mixed: White & Black African","25 - 29 yrs old","15.8","13.5"
