"Title","Renting from a local authority or housing association by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity_type","Denominator","Numerator","Value"
"English / Welsh / Scottish / Northern Irish / British","ONS 18 + 1","18,808,000","3,080,000","16"
"Irish","ONS 18 + 1","184,000","58,000","32"
"Gypsy or Irish Traveller","ONS 18 + 1","?","?","?"
"Any Other White background","ONS 18 + 1","1,078,000","143,000","13"
"White and Black Caribbean","ONS 18 + 1","99,000","37,000","37"
"White and Black African","ONS 18 + 1","80,000","28,000","35"
"White and Asian","ONS 18 + 1","66,000","12,000","18"
"Any other Mixed / multiple ethnic background","ONS 18 + 1","32,000","11,000","34"
"Indian","ONS 18 + 1","504,000","37,000","7"
"Pakistani","ONS 18 + 1","333,000","35,000","11"
"Bangladeshi","ONS 18 + 1","98,000","41,000","42"
"Chinese","ONS 18 + 1","129,000","11,000","9"
"Any other Asian background","ONS 18 + 1","218,000","30,000","14"
"African","ONS 18 + 1","368,000","176,000","48"
"Caribbean","ONS 18 + 1","289,000","129,000","45"
"Any other Black background","ONS 18 + 1","38,000","17,000","45"
"Arab","ONS 18 + 1","63,000","18,000","29"
"Any other ethnic group","ONS 18 + 1","227,000","48,000","21"
"Other","","","",""
"White","","","",""
"Asian","","","",""
"Mixed","","","",""
"Black","","","",""
