"Title","Percentage of income spent on rent by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Raw data from Continuous Recording of Lettings and Sales in Social Housing in England; breakdown not previously published  https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/labourmarketstatusbyethnicgroupa09"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Value"
"White: British","37"
"White: Irish","40"
"White: Other","34"
"Mixed: White & Black Caribbean","40"
"Mixed: White & Black African","39"
"Mixed: White & Asian","40"
"Mixed: Other","38"
"Asian/Asian British: Indian","38"
"Asian/Asian British: Pakistani","34"
"Asian/Asian British: Bangladeshi","38"
"Asian/Asian British: Other","39"
"Black, African, Caribbean or Black British: Caribbean","43"
"Black, African, Caribbean or Black British: African","38"
"Black, African, Caribbean or Black British: Other","40"
"Other Ethnic group: Chinese","38"
"Other Ethnic group: Other","38"
"White: Gypsy, Irish Traveller","39"
"Other Ethnic group: Arab","38  "
