"Title","Percentage of income spent on rent for new social lettings by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Raw data from Continuous Recording of Lettings and Sales in Social Housing in England; breakdown not previously published  https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/labourmarketstatusbyethnicgroupa09"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Region","Ethnicity","Value"
"North East","White: British","36"
"North West","White: British","36"
"Yorkshire & Humber","White: British","35"
"East Midlands","White: British","35"
"West Midlands","White: British","37"
"East of England","White: British","39"
"London","White: British","46"
"South East","White: British","40"
"South West","White: British","36"
"North East","White: Irish","40"
"North West","White: Irish","37"
"Yorkshire & Humber","White: Irish","38"
"East Midlands","White: Irish","40"
"West Midlands","White: Irish","38"
"East of England","White: Irish","40"
"London","White: Irish","46"
"South East","White: Irish","39"
"South West","White: Irish","37"
"North East","White: Other","33"
"North West","White: Other","29"
"Yorkshire & Humber","White: Other","28"
"East Midlands","White: Other","29"
"West Midlands","White: Other","31"
"East of England","White: Other","34"
"London","White: Other","44"
"South East","White: Other","36"
"South West","White: Other","32"
"North East","White & Black Caribbean","32"
"North West","White & Black Caribbean","37"
"Yorkshire & Humber","White & Black Caribbean","38"
"East Midlands","White & Black Caribbean","37"
"West Midlands","White & Black Caribbean","38"
"East of England","White & Black Caribbean","42"
"London","White & Black Caribbean","47"
"South East","White & Black Caribbean","42"
"South West","White & Black Caribbean","41"
"North East","White & Black African","36"
"North West","White & Black African","36"
"Yorkshire & Humber","White & Black African","34"
"East Midlands","White & Black African","38"
"West Midlands","White & Black African","37"
"East of England","White & Black African","40"
"London","White & Black African","45"
"South East","White & Black African","40"
"South West","White & Black African","37"
"North East","White & Asian","46"
"North West","White & Asian","39"
"Yorkshire & Humber","White & Asian","39"
"East Midlands","White & Asian","33"
"West Midlands","White & Asian","39"
"East of England","White & Asian","38"
"London","White & Asian","47"
"South East","White & Asian","37"
"South West","White & Asian","36"
"North East","Mixed: Other","36"
"North West","Mixed: Other","33"
"Yorkshire & Humber","Mixed: Other","34"
"East Midlands","Mixed: Other","36"
"West Midlands","Mixed: Other","34"
"East of England","Mixed: Other","36"
"London","Mixed: Other","46"
"South East","Mixed: Other","37"
"South West","Mixed: Other","36"
"North East","Indian","34"
"North West","Indian","35"
"Yorkshire & Humber","Indian","35"
"East Midlands","Indian","34"
"West Midlands","Indian","37"
"East of England","Indian","39"
"London","Indian","44"
"South East","Indian","39"
"South West","Indian","31"
"North East","Pakistani","37"
"North West","Pakistani","32"
"Yorkshire & Humber","Pakistani","33"
"East Midlands","Pakistani","34"
"West Midlands","Pakistani","33"
"East of England","Pakistani","34"
"London","Pakistani","42"
"South East","Pakistani","36"
"South West","Pakistani","36"
"North East","Bangladeshi","31"
"North West","Bangladeshi","31"
"Yorkshire & Humber","Bangladeshi","30"
"East Midlands","Bangladeshi","35"
"West Midlands","Bangladeshi","32"
"East of England","Bangladeshi","36"
"London","Bangladeshi","42"
"South East","Bangladeshi","37"
"South West","Bangladeshi","38"
"North East","Asian: Other","42"
"North West","Asian: Other","37"
"Yorkshire & Humber","Asian: Other","36"
"East Midlands","Asian: Other","35"
"West Midlands","Asian: Other","38"
"East of England","Asian: Other","37"
"London","Asian: Other","44"
"South East","Asian: Other","40"
"South West","Asian: Other","37"
"North East","Black Caribbean","42"
"North West","Black Caribbean","38"
"Yorkshire & Humber","Black Caribbean","38"
"East Midlands","Black Caribbean","37"
"West Midlands","Black Caribbean","40"
"East of England","Black Caribbean","40"
"London","Black Caribbean","47"
"South East","Black Caribbean","43"
"South West","Black Caribbean","38"
"North East","Black African","38"
"North West","Black African","35"
"Yorkshire & Humber","Black African","33"
"East Midlands","Black African","33"
"West Midlands","Black African","36"
"East of England","Black African","37"
"London","Black African","43"
"South East","Black African","39"
"South West","Black African","37"
"North East","Black: Other","38"
"North West","Black: Other","36"
"Yorkshire & Humber","Black: Other","36"
"East Midlands","Black: Other","35"
"West Midlands","Black: Other","37"
"East of England","Black: Other","39"
"London","Black: Other","44"
"South East","Black: Other","41"
"South West","Black: Other","33"
"North East","Chinese","38"
"North West","Chinese","32"
"Yorkshire & Humber","Chinese","26"
"East Midlands","Chinese","34"
"West Midlands","Chinese","34"
"East of England","Chinese","40"
"London","Chinese","44"
"South East","Chinese","41"
"South West","Chinese","33"
"North East","Other","36"
"North West","Other","38"
"Yorkshire & Humber","Other","34"
"East Midlands","Other","33"
"West Midlands","Other","37"
"East of England","Other","40"
"London","Other","43"
"South East","Other","39"
"South West","Other","38"
"North East","White: Gypsy, Irish Traveller","41"
"North West","White: Gypsy, Irish Traveller","35"
"Yorkshire & Humber","White: Gypsy, Irish Traveller","33"
"East Midlands","White: Gypsy, Irish Traveller","35"
"West Midlands","White: Gypsy, Irish Traveller","39"
"East of England","White: Gypsy, Irish Traveller","36"
"London","White: Gypsy, Irish Traveller","46"
"South East","White: Gypsy, Irish Traveller","43"
"South West","White: Gypsy, Irish Traveller","35"
"North East","Arab","40"
"North West","Arab","39"
"Yorkshire & Humber","Arab","34"
"East Midlands","Arab","36"
"West Midlands","Arab","35"
"East of England","Arab","45"
"London","Arab","48"
"South East","Arab","45"
"South West","Arab","34"
