"Title","Percentage of homeless households by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Homelessness statistics"
"Data source link","https://www.gov.uk/government/collections/homelessness-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","23 March 2017"

"","Asian","","Black","","Mixed","","White","","Other","","Unknown",""
"Geography","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"England","9","5,558","16","9,327","3","1,988","61","35,890","5","2,825","6","3,511"
"London","15","2,675","32","5,850","5","869","32","5,774","8","1,466","8","1,429"
"Rest of England","7","2,880","8","3,480","3","1,120","73","30,120","3","1,360","5","2,080"
"Adur","!","!","!","!","!","!","97","30","!","!","!","!"
"Allerdale","!","!","!","!","!","!","!","!","!","!","!","!"
"Amber Valley","!","!","!","!","!","!","96","78","!","!","!","!"
"Arun","!","!","!","!","!","!","99","218","!","!","!","!"
"Ashfield","!","!","!","!","!","!","98","98","!","!","!","!"
"Ashford","!","!","5","7","!","!","89","121","!","!","!","!"
"Aylesbury Vale","7","12","9","14","4","6","70","113","!","!","9","14"
"Babergh","!","!","!","!","!","!","98","60","!","!","!","!"
"Barking and Dagenham","16","89","47","254","5","25","31","170","!","!","!","!"
"Barnet","23","147","21","137","4","27","38","240","5","31","9","58"
"Barnsley","!","!","!","!","!","!","60","9","!","!","!","!"
"Barrow-in-Furness","!","!","!","!","!","!","!","!","!","!","!","!"
"Basildon","!","!","11","20","!","!","85","153","!","!","!","!"
"Basingstoke and Deane","5","5","6","6","!","!","89","95","!","!","!","!"
"Bassetlaw","!","!","!","!","!","!","95","72","!","!","!","!"
"Bath and North East Somerset","!","!","!","!","!","!","93","80","!","!","!","!"
"Bedford","15","38","9","23","5","12","61","153","4","10","6","16"
"Bexley","4","19","23","118","2","12","68","343","2","12","!","!"
"Birmingham","20","696","22","777","5","178","33","1,155","8","292","11","381"
"Blaby","!","!","!","!","!","!","71","12","!","!","!","!"
"Blackburn with Darwen","14","6","!","!","!","!","70","31","!","!","!","!"
"Blackpool","!","!","!","!","!","!","85","45","!","!","11","6"
"Bolsover","!","!","!","!","!","!","!","!","!","!","!","!"
"Bolton","9","17","5","9","!","!","85","167","!","!","!","!"
"Boston","!","!","!","!","!","!","92","11","!","!","!","!"
"Bournemouth","4","11","3","7","!","!","84","228","3","7","6","16"
"Bracknell Forest","!","!","!","!","!","!","81","62","!","!","6","5"
"Bradford","31","130","7","30","!","!","52","214","7","30","2","7"
"Braintree","!","!","!","!","!","!","93","52","!","!","!","!"
"Breckland","!","!","!","!","!","!","88","52","8","5","!","!"
"Brent","11","60","30","166","1","6","17","92","8","47","33","185"
"Brentwood","!","!","!","!","!","!","59","33","!","!","41","23"
"Brighton and Hove","4","15","5","20","4","17","67","276","4","15","17","71"
"Bristol, City of","6","57","19","185","4","38","59","576","2","16","11","107"
"Broadland","!","!","!","!","!","!","97","99","!","!","!","!"
"Bromley","3","21","21","174","7","58","59","494","7","61","3","23"
"Bromsgrove","!","!","!","!","!","!","89","42","!","!","!","!"
"Broxbourne","!","!","11","27","4","9","77","197","!","!","7","17"
"Broxtowe","!","!","!","!","!","!","83","10","!","!","!","!"
"Burnley","!","!","!","!","!","!","95","38","!","!","!","!"
"Bury","18","32","7","12","!","!","71","125","!","!","!","!"
"Calderdale","10","5","!","!","!","!","69","33","19","9","!","!"
"Cambridge","5","7","8","10","6","8","69","90","!","!","10","13"
"Camden","14","9","26","17","!","!","47","31","!","!","!","!"
"Cannock Chase","!","!","!","!","!","!","97","37","!","!","!","!"
"Canterbury","!","!","!","!","!","!","85","72","!","!","6","5"
"Carlisle","!","!","!","!","!","!","!","!","!","!","!","!"
"Castle Point","!","!","!","!","!","!","98","91","!","!","!","!"
"Central Bedfordshire","!","!","6","10","3","5","89","158","!","!","!","!"
"Charnwood","4","5","5","6","!","!","86","107","!","!","!","!"
"Chelmsford","2","7","3","11","1","5","69","231","1","5","23","78"
"Cheltenham","5","7","5","7","!","!","85","126","!","!","!","!"
"Cherwell","!","!","9","6","!","!","86","59","!","!","!","!"
"Cheshire East","!","!","!","!","!","!","93","94","5","5","!","!"
"Cheshire West and Chester","!","!","!","!","!","!","80","79","6","6","11","11"
"Chesterfield","!","!","!","!","!","!","96","55","!","!","!","!"
"Chichester","!","!","!","!","!","!","86","32","!","!","!","!"
"Chiltern","!","!","!","!","!","!","73","36","!","!","18","9"
"Chorley","!","!","!","!","!","!","!","!","!","!","!","!"
"Christchurch","!","!","!","!","!","!","92","23","!","!","!","!"
"City of London","!","!","!","!","!","!","67","12","!","!","!","!"
