"Title","Percentage of homeless households by ethnicity"
"Location","England"
"Time period","2006/07 to 2016/17"
"Data source","Homelessness statistics"
"Data source link","https://www.gov.uk/government/collections/homelessness-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","23 March 2017"

"Standard Ethnicity","Year","%"
"Asian","2006/07","6"
"Asian","2007/08","6"
"Asian","2008/09","6"
"Asian","2009/10","7"
"Asian","2010/11","6"
"Asian","2011/12","7"
"Asian","2012/13","8"
"Asian","2013/14","9"
"Asian","2014/15","9"
"Asian","2015/16","9"
"Asian","2016/17","9"
"Black","2006/07","10"
"Black","2007/08","11"
"Black","2008/09","12"
"Black","2009/10","14"
"Black","2010/11","14"
"Black","2011/12","14"
"Black","2012/13","15"
"Black","2013/14","16"
"Black","2014/15","16"
"Black","2015/16","17"
"Black","2016/17","16"
"Mixed","2006/07","2"
"Mixed","2007/08","2"
"Mixed","2008/09","3"
"Mixed","2009/10","3"
"Mixed","2010/11","3"
"Mixed","2011/12","3"
"Mixed","2012/13","3"
"Mixed","2013/14","3"
"Mixed","2014/15","3"
"Mixed","2015/16","3"
"Mixed","2016/17","3"
"White","2006/07","74"
"White","2007/08","72"
"White","2008/09","70"
"White","2009/10","68"
"White","2010/11","67"
"White","2011/12","66"
"White","2012/13","64"
"White","2013/14","63"
"White","2014/15","61"
"White","2015/16","59"
"White","2016/17","61"
"Other","2006/07","3"
"Other","2007/08","3"
"Other","2008/09","4"
"Other","2009/10","4"
"Other","2010/11","4"
"Other","2011/12","5"
"Other","2012/13","4"
"Other","2013/14","4"
"Other","2014/15","4"
"Other","2015/16","5"
"Other","2016/17","5"
"Unknown","2006/07","5"
"Unknown","2007/08","6"
"Unknown","2008/09","5"
"Unknown","2009/10","5"
"Unknown","2010/11","5"
"Unknown","2011/12","5"
"Unknown","2012/13","5"
"Unknown","2013/14","6"
"Unknown","2014/15","6"
"Unknown","2015/16","6"
"Unknown","2016/17","6"
"Ethnic minority (excl. White minorities)","2006/07","21"
"Ethnic minority (excl. White minorities)","2007/08","22"
"Ethnic minority (excl. White minorities)","2008/09","25"
"Ethnic minority (excl. White minorities)","2009/10","28"
"Ethnic minority (excl. White minorities)","2010/11","27"
"Ethnic minority (excl. White minorities)","2011/12","29"
"Ethnic minority (excl. White minorities)","2012/13","30"
"Ethnic minority (excl. White minorities)","2013/14","32"
"Ethnic minority (excl. White minorities)","2014/15","32"
"Ethnic minority (excl. White minorities)","2015/16","34"
"Ethnic minority (excl. White minorities)","2016/17","33"
