"Ethnicity","Time","£"
"White","2003","223"
"White","2004","230"
"White","2005","252"
"White","2006","326"
"White","2007","314"
"White","2008","335"
"White","2009","359"
"White","2010","365"
"White","2011","396"
"White","2012","393"
"White","2013","365"
"White","2014","368"
"White","2015","345"
"White","2016","326"
"Other","2003","212"
"Other","2004","225"
"Other","2005","204"
"Other","2006","257"
"Other","2007","266"
"Other","2008","299"
"Other","2009","283"
"Other","2010","258"
"Other","2011","293"
"Other","2012","320"
"Other","2013","363"
"Other","2014","351"
"Other","2015","320"
"Other","2016","329"
