"Ethnicity","Year","%"
"White","2003","11"
"White","2004","11"
"White","2005","11"
"White","2006","10"
"White","2007","11"
"White","2008","11"
"White","2009","11"
"White","2010","11"
"White","2011","10"
"White","2012","10"
"White","2013","9"
"White","2014","10"
"White","2015","10"
"Other","2003","15"
"Other","2004","16"
"Other","2005","17"
"Other","2006","18"
"Other","2007","17"
"Other","2008","19"
"Other","2009","20"
"Other","2010","19"
"Other","2011","18"
"Other","2012","19"
"Other","2013","18"
"Other","2014","18"
"Other","2015","16"
