"Ethnicity","Age group","%","Under-occupying households","All households"
"White British"," 16 - 24 yrs old","13"," 73,236 "," 573,254 "
"White British"," 25 - 34 yrs old","19"," 452,056 "," 2,396,932 "
"White British"," 35 - 44 yrs old","25"," 748,349 "," 2,941,139 "
"White British"," 45 - 54 yrs old","35"," 1,321,586 "," 3,766,221 "
"White British"," 55 - 64 yrs old","52"," 1,685,733 "," 3,249,826 "
"White British"," 65 yrs old or over","55"," 3,225,512 "," 5,900,399 "
"All other ethnic groups"," 16 - 24 yrs old","9"," 18,703 "," 202,590 "
"All other ethnic groups"," 25 - 34 yrs old","10"," 91,403 "," 901,571 "
"All other ethnic groups"," 35 - 44 yrs old","15"," 154,343 "," 1,044,794 "
"All other ethnic groups"," 45 - 54 yrs old","21"," 160,913 "," 761,583 "
"All other ethnic groups"," 55 - 64 yrs old","32"," 133,835 "," 413,099 "
"All other ethnic groups"," 65 yrs old or over","47"," 217,971 "," 462,057 "
