"Measure","Time","Time_type","Ethnicity_type","Ethnicity","Geography","Numerator","Value","Denominator","Sample_size"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","White British","England","3731","19.6","19010","9868"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","White Irish","England","22","11.4","192","109"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","White Gypsy or Irish Traveller","England","?","?","?","3"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","White Other","England","213","18.8","1129","610"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed White and Black Caribbean","England","8","8.1","96","50"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed White and Black African","England","19","25.8","74","52"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed White and Asian","England","?","?","?","28"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed Other","England","16","22.8","69","30"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Indian","England","98","21.1","463","188"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Pakistani","England","93","28","331","142"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Bangladeshi","England","19","13.7","135","76"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Chinese","England","20","22.9","87","36"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Asian Other","England","51","22.9","224","97"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Black African","England","78","18.8","414","280"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Black Caribbean","England","63","19","334","169"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Black Other","England","?","?","?","15"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Arab","England","17","19.7","85","45"
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","ONS 2011 18+1","Other","England","41","16.6","247","121"
