"Title","Average age of first-time buyers by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/statistics/english-housing-survey-2015-to-2016-headline-report"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Age"
"Asian",""
"Bangladeshi","?"
"Chinese","37"
"Indian","33"
"Pakistani","32"
"Asian other","36"
"Black",""
"Black African","38"
"Black Caribbean","35"
"Black other","?"
"Mixed",""
"Mixed White/Asian","?"
"Mixed White/Black African","?"
"Mixed White/Black Caribbean","?"
"Mixed other","?"
"White",""
"White British","33"
"White Irish","36"
"White Gypsy/Roma","?"
"White other","34"
"Other",""
"Arab","?"
"Any other","38"
