"Ethnicity","%","help from family to buy households ('000s)","All households ('000s)"
"Asian","","",""
"Bangladeshi","7","4","51"
"Chinese","19","8","41"
"Indian","10","33","336"
"Pakistani","14","24","178"
"Asian other","7","5","75"
"Black","","",""
"Black African","9","7","75"
"Black Caribbean","7","7","105"
"Black other","?","?","?"
"Mixed","","",""
"Mixed White/Asian","8","3","40"
"Mixed White/Black African","?","?","?"
"Mixed White/Black Caribbean","?","?","?"
"Mixed other","?","?","?"
"White","","",""
"White British","7","851","12,208"
"White Irish","8","8","98"
"White Gypsy/Traveller","?","?","?"
"White other","13","43","339"
"Other","","",""
"Arab","?","?","?"
"Any other","11","8","76"
