"Title","Households getting financial help from family to buy their home, by ethnicity"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","%","help from family to buy households ('000s)","All households ('000s)"
"Asian","","",""
"Bangladeshi","7","4","51"
"Chinese","19","8","41"
"Indian","10","33","336"
"Pakistani","14","24","178"
"Asian other","7","5","75"
"Black","","",""
"Black African","9","7","75"
"Black Caribbean","7","7","105"
"Black other","?","?","?"
"Mixed","","",""
"Mixed White/Asian","8","3","40"
"Mixed White/Black African","?","?","?"
"Mixed White/Black Caribbean","?","?","?"
"Mixed other","?","?","?"
"White","","",""
"White British","7","851","12,208"
"White Irish","8","8","98"
"White Gypsy/Traveller","?","?","?"
"White other","13","43","339"
"Other","","",""
"Arab","?","?","?"
"Any other","11","8","76"
