"Title","Home ownership by ethnicity and weekly income"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","7 March 2017"

"","White British","","","All other ethnic groups","",""
"","%","Homeowners","All households","%","Homeowners","All households"
"Up to £99","7","13,026","183,039","0","0","64,744"
"£100 to £199","36","588,678","1,623,813","18","58,791","319,019"
"£200 to £299","50","1,148,278","2,290,104","30","116,474","382,066"
"£300 to £399","59","1,241,118","2,121,559","26","129,777","490,875"
"£400 to £499","63","1,133,141","1,793,046","35","140,797","399,204"
"£500 to £599","66","1,090,733","1,641,076","32","110,654","343,358"
"£600 to £699","73","1,111,534","1,521,753","41","129,579","312,920"
"£700 to £799","77","955,013","1,234,900","47","124,852","266,681"
"£800 to £899","81","887,284","1,099,098","52","110,086","209,729"
"£900 to £999","83","728,261","875,735","55","104,294","188,360"
"£1000 and above","87","3,835,807","4,424,028","66","547,689","831,408"
