"Title","Spending on mortgages by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","%"
"Asian",""
"Bangladeshi","22"
"Chinese","23"
"Indian","21"
"Pakistani","19"
"Asian other","22"
"Black",""
"Black African","20"
"Black Caribbean","21"
"Black other","20"
"Mixed",""
"Mixed White/Asian","?"
"Mixed White/Black African","?"
"Mixed White/Black Caribbean","?"
"Mixed other","?"
"White",""
"White British","17"
"White Irish","20"
"White Gypsy or Irish Traveller","?"
"White other","21"
"Other",""
"Arab","?"
"Any other","22"
