"Title","Households renting from a private landlord by ethnicity and age group"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","7th March 2017"

"Ethnicity","Age group","%","Private renters","All households"
"White British"," 16 - 24 yrs old","64"," 349,592 "," 547,604 "
"White British"," 25 - 34 yrs old","40"," 959,728 "," 2,400,150 "
"White British"," 35 - 44 yrs old","21"," 613,464 "," 2,909,500 "
"White British"," 45 - 54 yrs old","12"," 454,510 "," 3,746,787 "
"White British"," 55 - 64 yrs old","9"," 293,670 "," 3,240,797 "
"White British"," 65 yrs old or over","5"," 324,525 "," 5,963,859 "
"All other ethnic groups"," 16 - 24 yrs old","78"," 163,159 "," 209,064 "
"All other ethnic groups"," 25 - 34 yrs old","62"," 546,719 "," 888,814 "
"All other ethnic groups"," 35 - 44 yrs old","37"," 384,650 "," 1,043,931 "
"All other ethnic groups"," 45 - 54 yrs old","24"," 193,390 "," 795,069 "
"All other ethnic groups"," 55 - 64 yrs old","17"," 74,074 "," 426,164 "
"All other ethnic groups"," 65 yrs old or over","9"," 41,457 "," 445,322 "
