"Title","Households renting from a private landlord by ethnicity and income"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","7th March 2017"

"","White British","","","All other ethnic groups","",""
"[None]","%","Private renters","All households","%","Private renters","All households"
"Up to £99","33"," 59,711 "," 183,039 ","36"," 23,448 "," 64,744 "
"£100 to £199","18"," 294,709 "," 1,623,813 ","39"," 123,561 "," 319,019 "
"£200 to £299","18"," 413,386 "," 2,290,104 ","28"," 108,725 "," 382,066 "
"£300 to £399","19"," 395,618 "," 2,121,559 ","44"," 216,102 "," 490,875 "
"£400 to £499","19"," 339,283 "," 1,793,046 ","38"," 150,078 "," 399,204 "
"£500 to £599","19"," 315,439 "," 1,641,076 ","46"," 156,464 "," 343,358 "
"£600 to £699","16"," 251,076 "," 1,521,753 ","39"," 122,579 "," 312,920 "
"£700 to £799","16"," 193,288 "," 1,234,900 ","42"," 110,892 "," 266,681 "
"£800 to £899","13"," 147,330 "," 1,099,098 ","37"," 77,255 "," 209,729 "
"£900 to £999","13"," 111,590 "," 875,735 ","35"," 65,557 "," 188,360 "
"£1000 and above","11"," 474,060 "," 4,424,028 ","30"," 248,789 "," 831,408 "
