"Title","Spending on mortgages by ethnicity"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"Ethnicity","%"
"Asian",""
"Bangladeshi","19"
"Chinese","?"
"Indian","19"
"Pakistani","20"
"Asian other","24"
"Black",""
"Black African","23"
"Black Caribbean","22"
"Black other","?"
"Mixed",""
"Mixed White/Asian","?"
"Mixed White/Black African","?"
"Mixed White/Black Caribbean","?"
"Mixed other","?"
"White",""
"White British","17"
"White Irish","21"
"White Gypsy/Traveller","?"
"White other","20"
"Other",""
"Arab","?"
"Any other","30"
