"Title","Spending on rent and mortgage","","","","","",""
"Location","England","","","","","",""
"Time period","2015/16 and 2016/17 (combined)","","","","","",""
"Data source","Ministry of Housing, Communities and Local Government","","","","","",""
"Data source link","https://www.gov.uk/government/collections/english-housing-survey","","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk","","","","","",""
"Last updated","12/07/2018","","","","","",""
"measure","time","time_type","ethnicity","ethnicity_type","Tenure type","value","sample_size"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","Owner occupiers","17.3","5723"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","Owner occupiers","20.6","40"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","Owner occupiers","?","1"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","Owner occupiers","20.4","224"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","Owner occupiers","?","23"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","Owner occupiers","?","22"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","Owner occupiers","?","20"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","Owner occupiers","?","8"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","Owner occupiers","19.1","210"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","Owner occupiers","20.3","98"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","Owner occupiers","19.2","42"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","Owner occupiers","?","24"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","Owner occupiers","24","48"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","Owner occupiers","22.6","66"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","Owner occupiers","21.7","54"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","Owner occupiers","?","9"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","Owner occupiers","?","5"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","Owner occupiers","30.2","51"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","Renters","30","8397"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","Renters","30.7","111"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","Renters","?","10"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","Renters","32.1","910"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","Renters","39.9","69"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","Renters","30.1","71"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","Renters","?","28"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","Renters","32.4","31"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","Renters","33.4","164"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","Renters","33.4","161"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","Renters","30.2","99"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","Renters","72","71"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","Renters","37.5","129"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","Renters","38.7","427"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","Renters","34.4","227"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","Renters","?","22"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","Renters","45.8","65"
"Average percentage of income spent on mortgage/rent","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","Renters","37","188"
