"Title","Spending on rent by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","%"
"Asian",""
"Bangladeshi","32"
"Chinese","81"
"Indian","31"
"Pakistani","36"
"Asian other","44"
"Black",""
"Black African","39"
"Black Caribbean","33"
"Black other","34"
"Mixed",""
"Mixed White/Asian","?"
"Mixed White/Black African","34"
"Mixed White/Black Caribbean","40"
"Mixed other","46"
"White",""
"White British","30"
"White Irish","32"
"White Gypsy/Traveller","?"
"White other","34"
"Other",""
"Arab","45"
"Any other","42"
