"Ethnicity","Time in current home"
"Asian",""
"Bangladeshi","9 years 1 months"
"Chinese","6 years 0 months"
"Indian","11 years 1 months"
"Pakistani","10 years 8 months"
"Asian other","8 years 1 months"
"Black",""
"Black African","6 years 5 months"
"Black Caribbean","14 years 4 months"
"Black other","8 years 10 months"
"Mixed",""
"Mixed White/Asian","9 years 8 months"
"Mixed White/Black African","6 years 2 months"
"Mixed White/Black Caribbean","8 years 2 months"
"Mixed other","6 years 2 months"
"White",""
"White British","15 years 1 months"
"White Irish","15 years 10 months"
"White Gypsy/Traveller","?"
"White other","5 years 9 months"
"Other",""
"Arab","5 years 9 months"
"Any other","7 years 1 months"
