"","White British","Other than White British"
"Region","Time","Time"
"North East","15 years 10 months","8 years 11 months"
"North West","15 years 8 months","8 years  8 months"
"Yorkshire and the Humber","14 years 10 months","8 years 10 months"
"East Midlands","14 years 7 months","8 years"
"West Midlands","16 years 9 months","9 years 5 months"
"East","15 years","7 years 9 months"
"London","15 years 10 months","8 years 8 months"
"South East","14 years","7 years 4 months"
"South West","14 years 2 months","6 years 1 month"
