"","White British","Other than White British"
"Weekly income","Time","Time"
"Up to £99","9 years 5 months","6 years 5 months"
"£100 to £199","17 years 5 months","10 years"
"£200 to £299","18 years 11 months","9 years 11 months "
"£300 to £399","17 years 1 month","8 years 11 months"
"£400 to £499","16 years","8 years 6 months"
"£500 to £599","15 years 5 months","7 years 6 months"
"£600 to £699","15 years 4 months","8 years "
"£700 to £799","14 years 3 months","7 years 8 months"
"£800 to £899","13 years 8 months","7 years 9 months"
"£900 to £999","13 years 1 month","8 years 8 months"
"£1000 and above","12 years 4 months","7 years 10 months"
