"Title","Time spent living in current home by ethnicity and socio-economic group"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"","Higher managerial, administrative and professional occupations","Intermediate occupations","Routine and manual occupations"
"Ethnicity","","",""
"White British","13 years 6 months","16 years 0 months","16 years 2 months"
"All other ethnic groups","7 years 9 months","9 years 4 months","9 years 0 months"
