"Title","Time spent living in current home by ethnicity and type of occupancy"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"","Owner occupiers","Social rented housing","Private rented housing"
"Ethnicity","","",""
"White British","18 years 2 months","12 years 2 months","4 years 9 months"
"Other than White British","13 years 7 months","8 years 9 months","2 years 10 months"
