"","North East","North West","Yorkshire & Humber","East Midlands","West Midlands","East of England","London","South East","South West"
"Ethnicity","%","%","%","%","%","%","%","%","%"
"Asian","","","","","","","","",""
"Bangladeshi","31","31","30","35","32","36","42","37","38"
"Chinese","38","32","26","34","34","40","44","41","33"
"Indian","34","35","35","34","37","39","44","39","31"
"Pakistani","37","32","33","34","33","34","42","36","36"
"Asian other","42","37","36","35","38","37","44","40","37"
"Black","","","","","","","","",""
"Black African","38","35","33","33","36","37","43","39","37"
"Black Caribbean","42","38","38","37","40","40","47","43","38"
"Black other","38","36","36","35","37","39","44","41","33"
"Mixed","","","","","","","","",""
"Mixed White/Asian","46","39","39","33","39","38","47","37","36"
"Mixed White/Black African","36","36","34","38","37","40","45","40","37"
"Mixed White/Black Caribbean","32","37","38","37","38","42","47","42","41"
"Mixed other","36","33","34","36","34","36","46","37","36"
"White","","","","","","","","",""
"White British","36","36","35","35","37","39","46","40","36"
"White Irish","40","37","38","40","38","40","46","39","37"
"White Gypsy/Traveller","41","35","33","35","39","36","46","43","35"
"White other","33","29","28","29","31","34","44","36","32"
"Other","","","","","","","","",""
"Arab","40","39","34","36","35","45","48","45","34"
"Unclassified","","","","","","","","",""
"Any other","36","38","34","33","37","40","43","39","38"
