"Title","Income spent on rent for new social lettings by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Social housing lettings in England: April 2016 to March 2017"
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","30/01/2018"

"","North East","North West","Yorkshire & Humber","East Midlands","West Midlands","East of England","London","South East","South West"
"","%","%","%","%","%","%","%","%","%"
"Asian","","","","","","","","",""
"Bangladeshi","25","33","29","33","32","35","40","35","33"
"Chinese","37","35","28","43","37","38","49","38","39"
"Indian","36","35","35","32","38","40","45","40","33"
"Pakistani","41","31","32","36","33","34","41","36","35"
"Asian other","39","36","35","37","40","38","42","38","33"
"Black","","","","","","","","",""
"Black African","34","32","33","37","36","35","43","37","36"
"Black Caribbean","37","36","36","38","39","42","46","41","39"
"Black other","37","33","31","33","35","38","44","40","35"
"Mixed","","","","","","","","",""
"Mixed White/Asian","37","37","33","37","39","39","47","43","39"
"Mixed White/Black African","34","33","33","35","37","38","47","41","36"
"Mixed White/Black Caribbean","38","37","36","36","38","40","47","40","37"
"Mixed other","34","37","33","34","37","39","47","36","32"
"White","","","","","","","","",""
"White British","35","35","35","35","37","38","46","39","36"
"White Irish","31","38","36","37","39","38","48","39","38"
"White Gypsy/Traveller","39","32","33","37","32","37","42","42","38"
"White other","30","30","29","29","32","33","44","35","32"
"Other","","","","","","","","","undefined"
"Arab","35","37","33","34","38","46","46","40","34"
"Any other","35","36","33","33","37","40","43","36","34"
