"","2 years or less","","3 to 5 years","","6 to 9 years","","10 or more years",""
"Ethnicity","%","Number ","%","Number ","%","Number ","%","Number "
"All","23.4","13,305","63.3","35,940","11.5","6,526","1.8","1,001"
"Asian","17.8","500","71.6","2,010","10.0","281","0.6","16"
"Bangladeshi","11.5","84","80.3","586","7.5","55","0.7","5"
"Chinese","16.1","14","73.7","65","10.2","9","0.0","0"
"Indian","22.0","95","65.6","284","12.1","53","!","!"
"Pakistani","20.7","149","69.9","505","9.1","66","!","!"
"Asian other","18.9","157","68.3","569","11.8","99","0.9","8"
"Black","21.0","988","65.4","3,079","12.8","602","0.8","38"
"Black African","18.8","492","67.1","1,754","13.2","346","0.9","23"
"Black Caribbean","23.6","387","64.0","1,051","11.8","194","0.6","11"
"Black other","24.3","109","61.0","275","13.8","62","0.9","4"
"Mixed","25.2","531","64.3","1,356","9.5","200","1.0","20"
"Mixed White/Asian","30.4","69","61.0","138","8.6","19","0.0","0"
"Mixed White/Black African","19.2","63","67.3","222","11.5","38","2.0","7"
"Mixed White/Black Caribbean","28.6","294","62.9","646","7.8","80","0.8","8"
"Mixed other","20.2","106","66.8","350","12.0","63","1.0","5"
"White","23.9","11,037","62.5","28,846","11.6","5,363","2.0","912"
"White British","24.5","10,558","61.8","26,605","11.6","4,981","2.0","879"
"White Irish","25.4","71","63.8","178","10.5","29","!","!"
"White Gypsy/Traveller","21.7","21","62.7","61","14.4","14","!","!"
"White other","14.0","386","72.6","2,001","12.3","339","1.1","31"
"Other","25.0","249","65.4","650","8.1","80","1.5","15"
"Arab","26.0","81","64.7","201","7.1","22","2.3","7"
"Any other","24.6","168","65.7","449","8.5","58","1.2","8"
