"","Less than £100","","£100 to £199","","£200 to £299","","£300 to £399","","£400 to £499","","£500 to £599","","£600 and above",""
"","%","Social housing lettings","%","Social housing lettings","%","Social housing lettings","%","Social housing lettings","%","Social housing lettings","%","Social housing lettings","%","Social housing lettings"
"Asian","22.5","1,955","24.8","2,153","20.8","1,805","16.2","1,408","8.5","741","4.5","387","2.6","225"
"Bangladeshi","14.8","228","22.1","341","23.5","363","18.6","287","10.7","165","6.3","97","3.9","60"
"Chinese","18.4","46","30.9","77","21.7","54","16.1","40","9.0","22","2.1","5","1.9","5"
"Indian","24.6","362","28.1","413","21.7","318","13.4","197","7.3","108","2.5","36","2.4","35"
"Pakistani","22.6","702","24.0","747","20.8","648","17.1","530","8.7","272","4.4","138","2.3","72"
"Asian other","26.8","618","24.9","575","18.3","422","15.3","353","7.6","175","4.8","110","2.3","53"
"Black","26.8","3,635","22.2","3,006","20.1","2,722","14.7","1,995","8.6","1,172","4.0","540","3.6","487"
"Black African","25.5","1,923","20.0","1,511","20.3","1,532","15.4","1,165","9.7","731","4.7","358","4.4","329"
"Black Caribbean","29.8","1,341","25.7","1,155","19.7","885","13.0","585","6.8","306","2.7","120","2.3","105"
"Black other","24.6","371","22.5","340","20.2","305","16.3","246","8.9","135","4.0","61","3.6","54"
"Mixed","27.9","1,625","25.3","1,476","20.4","1,187","13.4","778","6.6","382","3.5","205","2.9","172"
"Mixed White/Asian","28.1","213","29.1","221","20.9","159","12.7","97","5.4","41","2.2","17","1.6","12"
"Mixed White/Black African","23.8","228","24.7","236","18.3","175","15.4","148","8.6","82","5.3","51","3.9","37"
"Mixed White/Black Caribbean","32.3","908","25.4","716","19.9","561","12.3","347","5.4","153","2.3","65","2.3","65"
"Mixed other","21.3","275","23.4","302","22.6","292","14.5","187","8.2","105","5.6","72","4.5","58"
"White","18.7","27,903","27.7","41,391","23.4","34,990","14.7","21,983","7.7","11,448","4.4","6,648","3.5","5,194"
"White British","19.1","26,985","28.3","39,860","23.4","32,997","14.4","20,280","7.3","10,350","4.1","5,826","3.3","4,622"
"White Irish","21.9","220","33.0","332","23.0","231","12.1","121","4.0","40","3.4","34","2.5","25"
"White Gypsy/Traveller","17.3","40","28.9","66","26.3","60","15.2","35","5.7","13","3.8","9","2.9","7"
"White other","8.9","658","15.3","1,134","23.0","1,702","20.9","1,547","14.1","1,045","10.5","779","7.3","540"
"Other","29.8","1,129","24.8","940","20.0","757","12.6","476","6.8","258","3.9","147","2.0","77"
"Arab","36.2","392","24.1","261","18.2","198","11.4","124","5.7","62","3.0","33","1.3","14"
"Any other","27.3","737","25.1","679","20.7","560","13.0","352","7.3","196","4.2","114","2.3","63"
