"Title","Renting from a local authority or housing association by ethnicity and income"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","7th March 2017"

"","White British","","","All other ethnic groups","",""
"Weekly income ","%","Social housing households","All households","%","Social housing households","All households"
"Up to £99","60"," 110,302 "," 183,039 ","64"," 41,296 "," 64,744 "
"£100 to £199","46"," 740,427 "," 1,623,813 ","43"," 136,667 "," 319,019 "
"£200 to £299","32"," 728,441 "," 2,290,104 ","41"," 156,866 "," 382,066 "
"£300 to £399","23"," 484,822 "," 2,121,559 ","30"," 144,997 "," 490,875 "
"£400 to £499","18"," 320,623 "," 1,793,046 ","27"," 108,329 "," 399,204 "
"£500 to £599","14"," 234,904 "," 1,641,076 ","22"," 76,241 "," 343,358 "
"£600 to £699","10"," 159,142 "," 1,521,753 ","19"," 60,762 "," 312,920 "
"£700 to £799","7"," 86,599 "," 1,234,900 ","12"," 30,937 "," 266,681 "
"£800 to £899","6"," 64,484 "," 1,099,098 ","11"," 22,388 "," 209,729 "
"£900 to £999","4"," 35,884 "," 875,735 ","10"," 18,509 "," 188,360 "
"£1000 and above","3"," 114,161 "," 4,424,028 ","4"," 34,930 "," 831,408 "
