"Title","Households renting social housing by ethnicity and area"
"Location","England"
"Time period","2015/16 and 2016/17 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","12/07/2018"

"","White British","","","Other than White British","",""
"Region","%","Social housing households ('000s)","All households ('000s)","%","Social housing households ('000s)","All households ('000s)"
"North East","23","247","1,086","27","17","61"
"North West","17","476","2,748","23","81","352"
"Yorkshire and the Humber","17","347","1,986","21","60","283"
"East Midlands","15","256","1,695","19","48","257"
"West Midlands","18","355","1,968","20","79","394"
"East","15","339","2,197","16","54","331"
"London","18","303","1,706","27","466","1,713"
"South East","14","437","3,215","10","51","516"
"South West","13","289","2,215","14","27","187"
