"","White British","","","Other than White British","",""
"Income band","%","Social housing households ('000s)","All households ('000s)","%","Social housing households ('000s)","All households ('000s)"
"Up to £99","51","100","195","58","30","51"
"£100 to £199","44","678","1,524","48","147","305"
"£200 to £299","32","640","2,021","38","163","425"
"£300 to £399","24","522","2,154","31","151","481"
"£400 to £499","18","326","1,768","27","103","378"
"£500 to £599","15","237","1,619","22","86","386"
"£600 to £699","11","178","1,559","17","60","354"
"£700 to £799","8","107","1,289","11","31","269"
"£800 to £899","6","64","1,113","13","33","245"
"£900 to £999","5","46","891","10","19","186"
"£1000 and above","3","126","4,562","5","47","975"
