"Title","Routes into social housing by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Social housing lettings in England: April 2016 to March 2017"
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","30/01/2018"

"","Internal transfer","Tenant applied direct","Nominated by local housing authority","Referred by local authority housing department","Voluntary agency","Social services","Other social landlord","Police, probation, prison","Other"
"Ethnicity","%","%","%","%","%","%","%","%","%"
"All","12.8","45.5","24.9","4.9","1.5","2.9","0.5","0.9","6.2"
"Asian","10.1","43.4","27.0","4.2","2.9","3.2","0.5","1.0","7.6"
"Bangladeshi","11.7","41.5","32.9","3.1","1.9","2.5","0.5","0.6","5.2"
"Chinese","11.3","41.3","29.7","3.4","1.9","3.6","0.6","0.5","7.9"
"Indian","10.9","41.3","24.6","5.4","3.0","4.4","0.2","1.1","9.0"
"Pakistani","8.9","43.4","26.2","4.5","4.1","2.5","0.5","1.8","8.0"
"Asian other","9.8","46.4","24.9","4.2","2.1","3.6","0.6","0.5","7.9"
"Black","13.5","40.2","23.4","5.8","2.8","2.8","0.8","0.9","9.8"
"Black African","12.2","42.4","24.7","5.3","2.8","2.3","0.7","0.5","9.2"
"Black Caribbean","14.4","34.7","23.6","6.9","3.3","3.5","1.0","1.6","11.0"
"Black other","16.6","45.1","17.8","5.3","1.8","2.8","0.5","0.8","9.3"
"Mixed","10.6","39.2","26.1","7.0","2.8","3.3","0.8","1.4","8.9"
"Mixed White/Asian","9.6","40.0","25.3","8.2","3.0","3.2","0.9","1.4","8.5"
"Mixed White/Black African","12.1","41.9","24.6","5.7","2.4","3.3","0.4","0.5","9.0"
"Mixed White/Black Caribbean","10.7","36.6","26.0","7.8","3.2","3.4","0.9","1.8","9.6"
"Mixed other","9.8","42.2","27.6","5.6","2.3","3.0","0.8","1.1","7.5"
"White","13.1","46.2","24.9","4.8","1.3","2.8","0.5","0.8","5.6"
"White British","13.3","46.1","24.8","4.8","1.3","2.9","0.4","0.9","5.6"
"White Irish","15.4","37.8","19.4","7.2","3.1","2.8","1.0","1.7","11.6"
"White Gypsy/Traveller","14.4","37.9","25.6","7.0","2.3","3.3","0.5","1.7","7.4"
"White other","8.3","51.0","29.0","2.9","1.1","1.8","0.4","0.4","5.0"
"Other","9.4","47.2","20.9","4.6","3.0","3.5","0.5","0.6","10.3"
"Arab","10.3","39.8","21.3","5.4","3.9","4.6","0.5","0.1","14.3"
"Any other","9.0","50.2","20.8","4.3","2.6","3.1","0.5","0.8","8.6"
