"Title","Vulnerable households living in social housing by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings in England: April 2015 to March 2016"
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2015-to-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","Homelessness","","Insanitary/Unsatisfactory Housing","","Medical Welfare","","Hardship",""
"Ethnicity","%","Number","%","Number","%","Number","%","Number"
"All","39","37,139","24","22,486","26","25,112","15","14,659"
"Asian","45","2,468","33","1,838","14","766","13","721"
"Bangladeshi","36","525","48","710","10","145","11","159"
"Chinese","40","71","34","58","17","30","14","25"
"Indian","40","319","28","221","21","169","17","134"
"Pakistani","54","879","26","430","14","230","13","215"
"Asian other","48","674","30","418","14","192","14","188"
"Black","48","3,828","31","2,475","14","1,149","13","1,064"
"Black African","50","2,164","31","1,349","11","483","13","563"
"Black Caribbean","46","1,124","28","677","18","453","15","374"
"Black other","45","540","37","449","18","213","11","127"
"Mixed","48","1,467","25","770","16","497","16","486"
"Mixed White/Asian","47","172","26","94","17","63","15","55"
"Mixed White/Black African","39","203","32","164","20","103","14","74"
"Mixed White/Black Caribbean","50","722","24","351","16","224","16","230"
"Mixed other","51","370","22","161","15","107","18","127"
"White","37","28,361","22","16,945","29","22,383","16","12,042"
"White British","37","26,362","22","15,450","30","21,559","16","11,409"
"White Irish","37","188","23","120","30","155","17","85"
"White Gypsy/Traveller","50","67","23","31","15","20","17","23"
"White other","43","1,744","33","1,313","16","649","13","525"
"Other","50","1,015","23","458","16","317","17","346"
"Arab","52","331","20","129","14","90","18","114"
"Any other","50","684","24","329","17","227","17","232"
