"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Reasonable Preference","Value","Numerator"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Homelessness","34.7","23548"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Irish","ONS 18+1","Homelessness","34.4","175"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Other","ONS 18+1","Homelessness","40.7","1497"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Homelessness","45.4","651"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Homelessness","39.1","200"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Homelessness","41.8","158"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: Other","ONS 18+1","Homelessness","43.3","296"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Homelessness","39.5","309"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Homelessness","47.8","812"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Homelessness","29.8","415"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Homelessness","44.4","592"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Homelessness","40.3","923"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Homelessness","44.9","1925"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Homelessness","38.7","417"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Homelessness","36.2","52"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Homelessness","38.8","610"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Homelessness","31.9","52"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","Homelessness","49.6","324"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Insanitary/Unsatisfactory Housing","19.9","13484"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Irish","ONS 18+1","Insanitary/Unsatisfactory Housing","18.9","96"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","White: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","29.5","1083"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Insanitary/Unsatisfactory Housing","22.1","316"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Insanitary/Unsatisfactory Housing","27.8","142"
"Percentage of new lettings by reasonable preference type","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Insanitary/Unsatisfactory Housing","20.3","77"
