"Title","Vulnerable households living in social housing by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics"
"Data source link","https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Reasonable Preference","Ethnicity","%","Number"
"Homelessness","All","39","37,139"
"Homelessness","Asian","45","2,468"
"Homelessness","Bangladeshi","36","525"
"Homelessness","Chinese","40","71"
"Homelessness","Indian","40","319"
"Homelessness","Pakistani","54","879"
"Homelessness","Asian other","48","674"
"Homelessness","Black","48","3,828"
"Homelessness","Black African","50","2,164"
"Homelessness","Black Caribbean","46","1,124"
"Homelessness","Black other","45","540"
"Homelessness","Mixed","48","1,467"
"Homelessness","Mixed White/Asian","47","172"
"Homelessness","Mixed White/Black African","39","203"
"Homelessness","Mixed White/Black Caribbean","50","722"
"Homelessness","Mixed other","51","370"
"Homelessness","White","37","28,361"
"Homelessness","White British","37","26,362"
"Homelessness","White Irish","37","188"
"Homelessness","White Gypsy or Irish Traveller","50","67"
"Homelessness","White other","43","1,744"
"Homelessness","Other","51","1,015"
"Homelessness","Arab","52","331"
"Homelessness","Any other","50","684"
"Insanitary/Unsatisfactory Housing","All","24","22,486"
"Insanitary/Unsatisfactory Housing","Asian","34","1,838"
"Insanitary/Unsatisfactory Housing","Bangladeshi","48","710"
"Insanitary/Unsatisfactory Housing","Chinese","34","59"
"Insanitary/Unsatisfactory Housing","Indian","28","221"
"Insanitary/Unsatisfactory Housing","Pakistani","26","430"
"Insanitary/Unsatisfactory Housing","Asian other","30","418"
"Insanitary/Unsatisfactory Housing","Black","31","2,475"
"Insanitary/Unsatisfactory Housing","Black African","31","1,349"
"Insanitary/Unsatisfactory Housing","Black Caribbean","28","677"
"Insanitary/Unsatisfactory Housing","Black other","37","449"
"Insanitary/Unsatisfactory Housing","Mixed","25","770"
"Insanitary/Unsatisfactory Housing","Mixed White/Asian","26","94"
"Insanitary/Unsatisfactory Housing","Mixed White/Black African","32","164"
"Insanitary/Unsatisfactory Housing","Mixed White/Black Caribbean","24","351"
"Insanitary/Unsatisfactory Housing","Mixed other","22","161"
"Insanitary/Unsatisfactory Housing","White","22","16,945"
"Insanitary/Unsatisfactory Housing","White British","22","15,481"
"Insanitary/Unsatisfactory Housing","White Irish","23","120"
"Insanitary/Unsatisfactory Housing","White Gypsy or Irish Traveller","23","31"
"Insanitary/Unsatisfactory Housing","White other","33","1,313"
"Insanitary/Unsatisfactory Housing","Other","23","458"
"Insanitary/Unsatisfactory Housing","Arab","20","129"
"Insanitary/Unsatisfactory Housing","Any other","24","329"
"Medical Welfare","All","26","25,112"
"Medical Welfare","Asian","14","766"
"Medical Welfare","Bangladeshi","10","145"
"Medical Welfare","Chinese","17","30"
"Medical Welfare","Indian","21","169"
"Medical Welfare","Pakistani","14","230"
"Medical Welfare","Asian other","14","192"
"Medical Welfare","Black","14","1,149"
"Medical Welfare","Black African","11","483"
"Medical Welfare","Black Caribbean","18","453"
"Medical Welfare","Black other","18","213"
"Medical Welfare","Mixed","16","497"
"Medical Welfare","Mixed White/Asian","17","63"
"Medical Welfare","Mixed White/Black African","20","103"
"Medical Welfare","Mixed White/Black Caribbean","16","224"
"Medical Welfare","Mixed other","15","107"
"Medical Welfare","White","29","22,383"
"Medical Welfare","White British","30","21,559"
"Medical Welfare","White Irish","30","155"
"Medical Welfare","White Gypsy or Irish Traveller","15","20"
"Medical Welfare","White other","16","649"
"Medical Welfare","Other","16","317"
"Medical Welfare","Arab","14","90"
"Medical Welfare","Any other","17","227"
"Hardship","All","15","14,659"
"Hardship","Asian","13","721"
"Hardship","Bangladeshi","11","159"
"Hardship","Chinese","14","25"
"Hardship","Indian","17","134"
"Hardship","Pakistani","13","215"
"Hardship","Asian other","14","188"
"Hardship","Black","13","1,064"
"Hardship","Black African","13","563"
"Hardship","Black Caribbean","15","374"
"Hardship","Black other","11","127"
"Hardship","Mixed","16","486"
"Hardship","Mixed White/Asian","15","55"
"Hardship","Mixed White/Black African","14","74"
"Hardship","Mixed White/Black Caribbean","16","230"
"Hardship","Mixed other","18","127"
"Hardship","White","16","12,042"
"Hardship","White British","16","11,409"
"Hardship","White Irish","17","85"
"Hardship","White Gypsy or Irish Traveller","17","23"
"Hardship","White other","13","525"
"Hardship","Other","17","346"
"Hardship","Arab","18","114"
"Hardship","Any other","17","232"
