"Title","People claiming Employment and Support Allowance by ethnicity over time"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Nomis"
"Data source link","https://www.nomisweb.co.uk/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2015"

"Date","Ethnicity","%"
"2011","White","0.9"
"2011","Other","0.8"
"2012","White","2.3"
"2012","Other","1.9"
"2013","White","3.4"
"2013","Other","2.7"
"2014","White","4.0"
"2014","Other","3.1"
"2015","White","4.3"
"2015","Other","3.3"
