"Title","Jobseeker’s Allowance claimants sanctioned, by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","November 2012 to December 2016"
"Data source","Benefit sanctions statistics"
"Data source link","https://www.gov.uk/government/collections/jobseekers-allowance-sanctions"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","Month","%","Number of sanctions"
"White","Nov-12","4.8","54,718"
"White","Dec-12","3.8","42,704"
"White","Jan-13","4.6","55,098"
"White","Feb-13","3.9","47,780"
"White","Mar-13","4.3","51,042"
"White","Apr-13","5.1","58,544"
"White","May-13","5.4","60,642"
"White","Jun-13","5.1","54,018"
"White","Jul-13","6.3","66,359"
"White","Aug-13","6.0","61,302"
"White","Sep-13","6.2","60,025"
"White","Oct-13","7.4","68,423"
"White","Nov-13","6.1","54,841"
"White","Dec-13","4.8","42,146"
"White","Jan-14","5.8","53,223"
"White","Feb-14","5.1","47,397"
"White","Mar-14","5.3","46,702"
"White","Apr-14","4.9","40,871"
"White","May-14","4.9","38,725"
"White","Jun-14","5.3","39,425"
"White","Jul-14","5.3","38,296"
"White","Aug-14","4.7","32,081"
"White","Sep-14","4.9","31,969"
"White","Oct-14","4.5","28,695"
"White","Nov-14","4.3","26,264"
"White","Dec-14","3.7","21,681"
"White","Jan-15","4.0","24,780"
"White","Feb-15","3.8","23,669"
"White","Mar-15","4.1","24,210"
"White","Apr-15","3.3","18,942"
"White","May-15","3.0","16,043"
"White","Jun-15","3.3","17,198"
"White","Jul-15","3.0","15,308"
"White","Aug-15","2.7","13,372"
"White","Sep-15","2.6","12,675"
"White","Oct-15","2.7","12,861"
"White","Nov-15","2.6","11,721"
"White","Dec-15","2.2","9,918"
"White","Jan-16","2.1","9,974"
"White","Feb-16","2.2","10,434"
"White","Mar-16","2.3","10,475"
"White","Apr-16","2.2","9,408"
"White","May-16","2.0","8,577"
"White","Jun-16","2.0","7,941"
"White","Jul-16","1.7","6,735"
"White","Aug-16","1.7","6,564"
"White","Sep-16","1.6","5,966"
"White","Oct-16","1.5","5,458"
"White","Nov-16","1.8","6,197"
"White","Dec-16","1.5","5,323"
"Other","Nov-12","5.9","14,336"
"Other","Dec-12","4.7","11,313"
"Other","Jan-13","6.0","14,405"
"Other","Feb-13","5.1","12,456"
"Other","Mar-13","5.4","13,143"
"Other","Apr-13","5.9","14,177"
"Other","May-13","6.1","14,536"
"Other","Jun-13","5.6","13,090"
"Other","Jul-13","6.9","15,966"
"Other","Aug-13","6.4","14,680"
"Other","Sep-13","6.7","14,768"
"Other","Oct-13","8.3","17,277"
"Other","Nov-13","6.8","13,558"
"Other","Dec-13","5.3","10,357"
"Other","Jan-14","6.5","12,676"
"Other","Feb-14","5.9","11,560"
"Other","Mar-14","6.0","11,402"
"Other","Apr-14","5.8","10,704"
"Other","May-14","5.4","9,693"
"Other","Jun-14","6.0","10,284"
"Other","Jul-14","6.1","10,470"
"Other","Aug-14","5.4","9,039"
"Other","Sep-14","5.4","8,654"
"Other","Oct-14","5.0","7,719"
"Other","Nov-14","4.8","7,007"
"Other","Dec-14","3.9","5,538"
"Other","Jan-15","4.3","6,125"
"Other","Feb-15","4.1","5,966"
"Other","Mar-15","4.4","6,286"
"Other","Apr-15","3.4","4,700"
"Other","May-15","3.0","4,013"
"Other","Jun-15","3.4","4,450"
"Other","Jul-15","3.1","4,063"
"Other","Aug-15","2.9","3,821"
"Other","Sep-15","2.8","3,639"
"Other","Oct-15","2.9","3,608"
"Other","Nov-15","2.8","3,294"
"Other","Dec-15","2.5","2,879"
"Other","Jan-16","2.4","2,894"
"Other","Feb-16","2.3","2,851"
"Other","Mar-16","2.4","2,859"
"Other","Apr-16","2.2","2,653"
"Other","May-16","2.1","2,446"
"Other","Jun-16","2.2","2,477"
"Other","Jul-16","1.8","1,961"
"Other","Aug-16","1.8","1,965"
"Other","Sep-16","1.7","1,783"
"Other","Oct-16","1.7","1,706"
"Other","Nov-16","2.0","1,960"
"Other","Dec-16","1.7","1,668"
