"Title","Claims for Jobseeker’s Allowance lasting for 13 weeks or less, by ethnicity and area"
"Location","England, Wales and Scotland"
"Time period","April 2017"
"Data source","Official Labour Market Statistics (NOMIS)"
"Data source link","https://www.nomisweb.co.uk/home/news.asp?cat=24"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","April 2017"

"Standard Ethnicity","[None]","%"
"All","All","35.8"
"All","East","41.2"
"All","East Midlands","36.6"
"All","London","33.7"
"All","North East","28.9"
"All","North West","37.0"
"All","Scotland","36.8"
"All","South East","41.0"
"All","South West","39.5"
"All","Wales","34.1"
"All","West Midlands","31.8"
"All","Yorkshire and The Humber","36.3"
"Asian","All","35.3"
"Asian","East","41.4"
"Asian","East Midlands","40.2"
"Asian","London","36.2"
"Asian","North East","31.2"
"Asian","North West","35.5"
"Asian","Scotland","41.8"
"Asian","South East","41.7"
"Asian","South West","38.5"
"Asian","Wales","40.0"
"Asian","West Midlands","30.3"
"Asian","Yorkshire and The Humber","33.6"
"Black","All","32.2"
"Black","East","40.3"
"Black","East Midlands","35.2"
"Black","London","30.3"
"Black","North East","27.8"
"Black","North West","37.6"
"Black","Scotland","43.8"
"Black","South East","41.4"
"Black","South West","34.4"
"Black","Wales","42.6"
"Black","West Midlands","27.4"
"Black","Yorkshire and The Humber","36.1"
"Mixed","All","36.9"
"Mixed","East","43.8"
"Mixed","East Midlands","39.4"
"Mixed","London","34.9"
"Mixed","North East","30.8"
"Mixed","North West","39.8"
"Mixed","Scotland","40.3"
"Mixed","South East","45.8"
"Mixed","South West","37.2"
"Mixed","Wales","43.3"
"Mixed","West Midlands","29.4"
"Mixed","Yorkshire and The Humber","39.8"
"White British","All","35.5"
"White British","East","40.3"
"White British","East Midlands","35.4"
"White British","London","33.0"
"White British","North East","28.8"
"White British","North West","36.3"
"White British","Scotland","35.8"
"White British","South East","40.3"
"White British","South West","39.1"
"White British","Wales","33.1"
"White British","West Midlands","32.7"
"White British","Yorkshire and The Humber","35.8"
"White other","All","49.9"
"White other","East","55.1"
"White other","East Midlands","55.0"
"White other","London","42.7"
"White other","North East","42.3"
"White other","North West","51.9"
"White other","Scotland","58.9"
"White other","South East","50.8"
"White other","South West","53.4"
"White other","Wales","53.6"
"White other","West Midlands","50.0"
"White other","Yorkshire and The Humber","54.2"
"Other","All","35.8"
"Other","East","40.2"
"Other","East Midlands","41.2"
"Other","London","36.7"
"Other","North East","26.3"
"Other","North West","37.2"
"Other","Scotland","32.3"
"Other","South East","40.5"
"Other","South West","36.5"
"Other","Wales","36.7"
"Other","West Midlands","31.3"
"Other","Yorkshire and The Humber","37.6"
"Unknown","All","33.1"
"Unknown","East","39.3"
"Unknown","East Midlands","33.3"
"Unknown","London","32.0"
"Unknown","North East","24.6"
"Unknown","North West","36.8"
"Unknown","Scotland","32.1"
"Unknown","South East","41.1"
"Unknown","South West","38.7"
"Unknown","Wales","33.3"
"Unknown","West Midlands","27.6"
"Unknown","Yorkshire and The Humber","35.5"
