"Title","Claims for Jobseeker’s Allowance lasting for 13 weeks or less, by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","January 2012 to April 2017"
"Data source","Official Labour Market Statistics (NOMIS)"
"Data source link","https://www.nomisweb.co.uk/home/news.asp?cat=24"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","April 2017"

"Standard Ethnicity","Month","%"
"All","Apr-2012","34.3"
"All","Apr-2013","34.2"
"All","Apr-2014","36.1"
"All","Apr-2015","39.6"
"All","Apr-2016","36.6"
"All","Apr-2017","35.8"
"Asian","Apr-2012","34.8"
"Asian","Apr-2013","34.5"
"Asian","Apr-2014","36.0"
"Asian","Apr-2015","39.5"
"Asian","Apr-2016","37.0"
"Asian","Apr-2017","35.3"
"Black","Apr-2012","29.1"
"Black","Apr-2013","29.0"
"Black","Apr-2014","32.3"
"Black","Apr-2015","36.0"
"Black","Apr-2016","33.5"
"Black","Apr-2017","32.2"
"Mixed","Apr-2012","34.8"
"Mixed","Apr-2013","34.5"
"Mixed","Apr-2014","37.6"
"Mixed","Apr-2015","41.0"
"Mixed","Apr-2016","39.0"
"Mixed","Apr-2017","36.9"
"White British","Apr-2012","34.4"
"White British","Apr-2013","34.2"
"White British","Apr-2014","36.1"
"White British","Apr-2015","39.4"
"White British","Apr-2016","35.9"
"White British","Apr-2017","35.5"
"White other","Apr-2012","43.1"
"White other","Apr-2013","43.0"
"White other","Apr-2014","41.0"
"White other","Apr-2015","48.0"
"White other","Apr-2016","54.2"
"White other","Apr-2017","49.9"
"Other","Apr-2012","33.3"
"Other","Apr-2013","32.1"
"Other","Apr-2014","32.5"
"Other","Apr-2015","38.9"
"Other","Apr-2016","38.1"
"Other","Apr-2017","35.8"
"Unknown","Apr-2012","33.3"
"Unknown","Apr-2013","34.3"
"Unknown","Apr-2014","36.5"
"Unknown","Apr-2015","40.0"
"Unknown","Apr-2016","33.4"
"Unknown","Apr-2017","33.1"
