"Title","How long people claim Jobseeker’s Allowance for, by ethnicity"
"Location","England, Wales and Scotland"
"Time period","April 2017"
"Data source","Official Labour Market Statistics (NOMIS)"
"Data source link","https://www.nomisweb.co.uk"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Duration","Ethnicity","%"
"13 weeks or less","All","35.8"
"13 weeks or less","Asian","35.3"
"13 weeks or less","Black","32.2"
"13 weeks or less","Mixed","36.9"
"13 weeks or less","White British","35.5"
"13 weeks or less","White other","49.9"
"13 weeks or less","Other","35.8"
"13 weeks or less","Unknown","33.1"
"over 13 and up to 26 weeks","All","17.6"
"over 13 and up to 26 weeks","Asian","18.5"
"over 13 and up to 26 weeks","Black","17.9"
"over 13 and up to 26 weeks","Mixed","19.0"
"over 13 and up to 26 weeks","White British","17.3"
"over 13 and up to 26 weeks","White other","18.7"
"over 13 and up to 26 weeks","Other","20.0"
"over 13 and up to 26 weeks","Unknown","17.2"
"over 26 and up to 52 weeks","All","15.6"
"over 26 and up to 52 weeks","Asian","18.6"
"over 26 and up to 52 weeks","Black","17.0"
"over 26 and up to 52 weeks","Mixed","17.1"
"over 26 and up to 52 weeks","White British","15.1"
"over 26 and up to 52 weeks","White other","13.2"
"over 26 and up to 52 weeks","Other","19.9"
"over 26 and up to 52 weeks","Unknown","15.4"
"over 52 and up to 78 weeks","All","8.3"
"over 52 and up to 78 weeks","Asian","9.0"
"over 52 and up to 78 weeks","Black","10.0"
"over 52 and up to 78 weeks","Mixed","8.7"
"over 52 and up to 78 weeks","White British","8.1"
"over 52 and up to 78 weeks","White other","6.0"
"over 52 and up to 78 weeks","Other","9.6"
"over 52 and up to 78 weeks","Unknown","8.4"
"over 78 and up to 104 weeks","All","4.9"
"over 78 and up to 104 weeks","Asian","4.6"
"over 78 and up to 104 weeks","Black","5.5"
"over 78 and up to 104 weeks","Mixed","4.5"
"over 78 and up to 104 weeks","White British","5.0"
"over 78 and up to 104 weeks","White other","3.0"
"over 78 and up to 104 weeks","Other","4.6"
"over 78 and up to 104 weeks","Unknown","4.7"
"over 104 weeks","All","17.8"
"over 104 weeks","Asian","14.0"
"over 104 weeks","Black","17.4"
"over 104 weeks","Mixed","13.7"
"over 104 weeks","White British","19.0"
"over 104 weeks","White other","9.3"
"over 104 weeks","Other","10.1"
"over 104 weeks","Unknown","21.2"
