"Title","Jobseeker’s Allowance: how long people claim for"
"Location","England, Wales and Scotland"
"Time period","May 2012 to April 2017"
"Data source","Department for Work and Pensions"
"Data source link","https://www.nomisweb.co.uk"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Month","Ethnicity","Duration","Region","Caseload","Value","Value"
"Jan-2012","All","All","All","1,583,870","100.0%",""
"Jan-2012","White","All","All","1,242,175","100.0%",""
"Jan-2012","Ethnic Minority","All","All","251,925","100.0%",""
"Jan-2012","White British","All","All","1,187,530","100.0%",""
"Jan-2012","White Other","All","All","54,645","100.0%",""
"Jan-2012","Black","All","All","102,300","100.0%",""
"Jan-2012","Asian","All","All","90,715","100.0%",""
"Jan-2012","Mixed","All","All","30,370","100.0%",""
"Jan-2012","Other","All","All","28,535","100.0%",""
"Jan-2012","Unreported","All","All","89,770","100.0%",""
"Jan-2012","All","13 weeks or less","All","601,570","38.0%",""
"Jan-2012","White","13 weeks or less","All","487,790","39.3%",""
"Jan-2012","Ethnic Minority","13 weeks or less","All","82,335","32.7%",""
"Jan-2012","White British","13 weeks or less","All","463,210","39.0%",""
"Jan-2012","White Other","13 weeks or less","All","24,585","45.0%",""
"Jan-2012","Black","13 weeks or less","All","29,700","29.0%",""
"Jan-2012","Asian","13 weeks or less","All","31,895","35.2%",""
"Jan-2012","Mixed","13 weeks or less","All","10,955","36.1%",""
"Jan-2012","Other","13 weeks or less","All","9,785","34.3%",""
"Jan-2012","Unreported","13 weeks or less","All","31,445","35.0%",""
"Jan-2012","All","over 13 and up to 26 weeks","All","334,625","21.1%",""
"Jan-2012","White","over 13 and up to 26 weeks","All","260,090","20.9%",""
"Jan-2012","Ethnic Minority","over 13 and up to 26 weeks","All","54,680","21.7%",""
"Jan-2012","White British","over 13 and up to 26 weeks","All","247,630","20.9%",""
"Jan-2012","White Other","over 13 and up to 26 weeks","All","12,460","22.8%",""
"Jan-2012","Black","over 13 and up to 26 weeks","All","21,115","20.6%",""
"Jan-2012","Asian","over 13 and up to 26 weeks","All","20,350","22.4%",""
"Jan-2012","Mixed","over 13 and up to 26 weeks","All","6,885","22.7%",""
"Jan-2012","Other","over 13 and up to 26 weeks","All","6,330","22.2%",""
"Jan-2012","Unreported","over 13 and up to 26 weeks","All","19,855","22.1%",""
"Jan-2012","All","over 26 and up to 52 weeks","All","343,365","21.7%",""
"Jan-2012","White","over 26 and up to 52 weeks","All","262,315","21.1%",""
"Jan-2012","Ethnic Minority","over 26 and up to 52 weeks","All","61,275","24.3%",""
"Jan-2012","White British","over 26 and up to 52 weeks","All","252,475","21.3%",""
"Jan-2012","White Other","over 26 and up to 52 weeks","All","9,840","18.0%",""
"Jan-2012","Black","over 26 and up to 52 weeks","All","25,570","25.0%",""
"Jan-2012","Asian","over 26 and up to 52 weeks","All","22,035","24.3%",""
"Jan-2012","Mixed","over 26 and up to 52 weeks","All","7,000","23.0%",""
"Jan-2012","Other","over 26 and up to 52 weeks","All","6,665","23.4%",""
"Jan-2012","Unreported","over 26 and up to 52 weeks","All","19,775","22.0%",""
"Jan-2012","All","over 52 and up to 78 weeks","All","161,950","10.2%",""
"Jan-2012","White","over 52 and up to 78 weeks","All","124,285","10.0%",""
"Jan-2012","Ethnic Minority","over 52 and up to 78 weeks","All","28,325","11.2%",""
"Jan-2012","White British","over 52 and up to 78 weeks","All","120,190","10.1%",""
"Jan-2012","White Other","over 52 and up to 78 weeks","All","4,090","7.5%",""
"Jan-2012","Black","over 52 and up to 78 weeks","All","12,855","12.6%",""
"Jan-2012","Asian","over 52 and up to 78 weeks","All","9,205","10.1%",""
"Jan-2012","Mixed","over 52 and up to 78 weeks","All","3,015","9.9%",""
"Jan-2012","Other","over 52 and up to 78 weeks","All","3,250","11.4%",""
"Jan-2012","Unreported","over 52 and up to 78 weeks","All","9,345","10.4%",""
"Jan-2012","All","over 78 and up to 104 weeks","All","64,180","4.1%",""
"Jan-2012","White","over 78 and up to 104 weeks","All","48,580","3.9%",""
"Jan-2012","Ethnic Minority","over 78 and up to 104 weeks","All","11,775","4.7%",""
"Jan-2012","White British","over 78 and up to 104 weeks","All","46,930","4.0%",""
"Jan-2012","White Other","over 78 and up to 104 weeks","All","1,650","3.0%",""
"Jan-2012","Black","over 78 and up to 104 weeks","All","5,810","5.7%",""
"Jan-2012","Asian","over 78 and up to 104 weeks","All","3,660","4.0%",""
"Jan-2012","Mixed","over 78 and up to 104 weeks","All","1,110","3.7%",""
"Jan-2012","Other","over 78 and up to 104 weeks","All","1,195","4.2%",""
"Jan-2012","Unreported","over 78 and up to 104 weeks","All","3,825","4.3%",""
"Jan-2012","All","over 104 weeks","All","78,170","4.9%",""
"Jan-2012","White","over 104 weeks","All","59,115","4.8%",""
"Jan-2012","Ethnic Minority","over 104 weeks","All","13,530","5.4%",""
"Jan-2012","White British","over 104 weeks","All","57,095","4.8%",""
"Jan-2012","White Other","over 104 weeks","All","2,020","3.7%",""
"Jan-2012","Black","over 104 weeks","All","7,250","7.1%",""
"Jan-2012","Asian","over 104 weeks","All","3,570","3.9%",""
"Jan-2012","Mixed","over 104 weeks","All","1,410","4.6%",""
"Jan-2012","Other","over 104 weeks","All","1,305","4.6%",""
"Jan-2012","Unreported","over 104 weeks","All","5,525","6.2%",""
"Jan-2012","All","All","East","120,370","100.0%",""
"Jan-2012","White","All","East","102,125","100.0%",""
"Jan-2012","Ethnic Minority","All","East","11,650","100.0%",""
"Jan-2012","White British","All","East","97,145","100.0%",""
"Jan-2012","White Other","All","East","4,980","100.0%",""
"Jan-2012","Black","All","East","4,065","100.0%",""
"Jan-2012","Asian","All","East","4,335","100.0%",""
"Jan-2012","Mixed","All","East","2,160","100.0%",""
"Jan-2012","Other","All","East","1,095","100.0%",""
"Jan-2012","Unreported","All","East","6,590","100.0%",""
"Jan-2012","All","13 weeks or less","East","47,830","39.7%",""
"Jan-2012","White","13 weeks or less","East","40,965","40.1%",""
"Jan-2012","Ethnic Minority","13 weeks or less","East","4,360","37.4%",""
"Jan-2012","White British","13 weeks or less","East","38,675","39.8%",""
"Jan-2012","White Other","13 weeks or less","East","2,290","46.0%",""
"Jan-2012","Black","13 weeks or less","East","1,395","34.3%",""
"Jan-2012","Asian","13 weeks or less","East","1,660","38.3%",""
"Jan-2012","Mixed","13 weeks or less","East","890","41.2%",""
"Jan-2012","Other","13 weeks or less","East","415","37.9%",""
"Jan-2012","Unreported","13 weeks or less","East","2,505","38.0%",""
"Jan-2012","All","over 13 and up to 26 weeks","East","25,030","20.8%",""
"Jan-2012","White","over 13 and up to 26 weeks","East","21,115","20.7%",""
"Jan-2012","Ethnic Minority","over 13 and up to 26 weeks","East","2,500","21.5%",""
"Jan-2012","White British","over 13 and up to 26 weeks","East","19,970","20.6%",""
"Jan-2012","White Other","over 13 and up to 26 weeks","East","1,145","23.0%",""
"Jan-2012","Black","over 13 and up to 26 weeks","East","870","21.4%",""
"Jan-2012","Asian","over 13 and up to 26 weeks","East","915","21.1%",""
"Jan-2012","Mixed","over 13 and up to 26 weeks","East","470","21.8%",""
"Jan-2012","Other","over 13 and up to 26 weeks","East","245","22.4%",""
"Jan-2012","Unreported","over 13 and up to 26 weeks","East","1,410","21.4%",""
"Jan-2012","All","over 26 and up to 52 weeks","East","25,100","20.9%",""
"Jan-2012","White","over 26 and up to 52 weeks","East","21,150","20.7%",""
"Jan-2012","Ethnic Minority","over 26 and up to 52 weeks","East","2,580","22.1%",""
"Jan-2012","White British","over 26 and up to 52 weeks","East","20,300","20.9%",""
"Jan-2012","White Other","over 26 and up to 52 weeks","East","850","17.1%",""
"Jan-2012","Black","over 26 and up to 52 weeks","East","915","22.5%",""
"Jan-2012","Asian","over 26 and up to 52 weeks","East","960","22.1%",""
