"Title","People claiming Income Support by ethnicity and region"
"Location","England and Wales"
"Time period","2015"
"Data source","Nomis"
"Data source link","http://www.nomisweb.co.uk"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","May 2017"

"","All","White","Other"
"Region","%","%","%"
"East","1.5","1.3","1.0"
"East Midlands","1.7","1.5","1.3"
"London","1.7","1.3","1.8"
"North East","2.6","2.3","1.0"
"North West","2.2","1.9","1.6"
"South East","1.3","1.2","0.8"
"South West","1.5","1.3","1.0"
"Wales","2.3","2.0","1.0"
"West Midlands","2.2","1.8","1.9"
"Yorkshire and The Humber","2.0","1.8","1.8"
