"Measure","Date","Date type","Ethnicity","Ethnicity_type","Region","Region_type","Rate","Rate_type","Numerator","Numerator type","Denominator","Denominator type"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","All","England and Wales","3.7","Percentage of Numerator / Denominator","1333765","Average number of JSA claimants a month matching date, geographic and ethnicity status","36288896","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","East","Government Region","3","Percentage of Numerator / Denominator","111970","Average number of JSA claimants a month matching date, geographic and ethnicity status","3719075","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","East Midlands","Government Region","3.5","Percentage of Numerator / Denominator","103281","Average number of JSA claimants a month matching date, geographic and ethnicity status","2919158","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","London","Government Region","4","Percentage of Numerator / Denominator","227700","Average number of JSA claimants a month matching date, geographic and ethnicity status","5664416","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","North East","Government Region","5.1","Percentage of Numerator / Denominator","85193","Average number of JSA claimants a month matching date, geographic and ethnicity status","1681674","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","North West","Government Region","4.2","Percentage of Numerator / Denominator","190271","Average number of JSA claimants a month matching date, geographic and ethnicity status","4552765","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","South East","Government Region","2.5","Percentage of Numerator / Denominator","137428","Average number of JSA claimants a month matching date, geographic and ethnicity status","5513564","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","South West","Government Region","2.6","Percentage of Numerator / Denominator","85488","Average number of JSA claimants a month matching date, geographic and ethnicity status","3326352","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","Wales","Government Region","3.9","Percentage of Numerator / Denominator","74948","Average number of JSA claimants a month matching date, geographic and ethnicity status","1941524","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","West Midlands","Government Region","4.6","Percentage of Numerator / Denominator","164110","Average number of JSA claimants a month matching date, geographic and ethnicity status","3561093","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","All","All","Yorkshire and The Humber","Government Region","4.5","Percentage of Numerator / Denominator","153374","Average number of JSA claimants a month matching date, geographic and ethnicity status","3409275","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","All","England and Wales","3.8","Percentage of Numerator / Denominator","1381352","Average number of JSA claimants a month matching date, geographic and ethnicity status","36238632","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","East","Government Region","3.1","Percentage of Numerator / Denominator","115128","Average number of JSA claimants a month matching date, geographic and ethnicity status","3707875","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","East Midlands","Government Region","3.7","Percentage of Numerator / Denominator","108969","Average number of JSA claimants a month matching date, geographic and ethnicity status","2912228","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","London","Government Region","4","Percentage of Numerator / Denominator","226511","Average number of JSA claimants a month matching date, geographic and ethnicity status","5704172","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","North East","Government Region","5.6","Percentage of Numerator / Denominator","93303","Average number of JSA claimants a month matching date, geographic and ethnicity status","1671021","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","North West","Government Region","4.4","Percentage of Numerator / Denominator","200372","Average number of JSA claimants a month matching date, geographic and ethnicity status","4531660","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","All","All","South East","Government Region","2.5","Percentage of Numerator / Denominator","139258","Average number of JSA claimants a month matching date, geographic and ethnicity status","5504609","Number of people in the population aged 16-24 matching geographic and ethnicity status"
